Finish,Driver,Races,Wins,Poles,Top 5,Top 10,Laps Led,Points,Earnings
1.0,David Pearson Category:Articles with hCards,42.0,15.0,7.0,26.0,33.0,3174.0,35638.0,"$78,194"
2.0,James Hylton Category:Articles with hCards,41.0,0.0,1.0,20.0,32.0,155.0,33688.0,"$38,722"
3.0,Richard Petty Category:Articles with hCards,39.0,8.0,15.0,20.0,22.0,2924.0,22952.0,"$94,666"
4.0,Henley Gray Category:Articles with hCards,45.0,0.0,0.0,4.0,18.0,0.0,22468.0,"$21,901"
5.0,Paul Goldsmith Category:Articles with hCards,21.0,3.0,1.0,11.0,11.0,452.0,22078.0,"$54,609"
6.0,Wendell Scott Category:Articles with hCards,45.0,0.0,0.0,3.0,17.0,0.0,21702.0,"$23,052"
7.0,John Sears Category:Articles with hCards,46.0,0.0,0.0,11.0,30.0,74.0,21432.0,"$25,191"
8.0,J.T. Putney Category:Articles with hCards,39.0,0.0,0.0,4.0,9.0,32.0,21208.0,"$18,653"
9.0,Neil Castles Category:Articles with hCards,41.0,0.0,0.0,7.0,17.0,0.0,20446.0,"$19,034"
10.0,Bobby Allison Category:Articles with hCards,33.0,3.0,4.0,10.0,15.0,714.0,19910.0,"$23,419"
11.0,Elmo Langley Category:Articles with hCards,47.0,2.0,1.0,12.0,20.0,308.0,19116.0,"$22,455"
12.0,Darel Dieringer Category:Articles with hCards,25.0,3.0,0.0,7.0,9.0,515.0,18214.0,"$52,529"
13.0,Ned Jarrett Category:Articles with hCards,21.0,0.0,0.0,5.0,8.0,167.0,17616.0,"$23,254"
14.0,Jim Paschal Category:Articles with hCards,18.0,2.0,2.0,6.0,10.0,759.0,16404.0,"$30,984"
15.0,Sam McQuagg Category:Articles with hCards,16.0,1.0,0.0,4.0,7.0,175.0,16068.0,"$29,529"
16.0,Paul Lewis Category:Articles with hCards,21.0,1.0,0.0,9.0,14.0,67.0,15352.0,"$17,826"
17.0,Marvin Panch Category:Articles with hCards,14.0,1.0,0.0,4.0,6.0,183.0,15308.0,"$38,431"
18.0,Cale Yarborough Category:Articles with hCards,14.0,0.0,0.0,3.0,7.0,252.0,15188.0,"$28,130"
19.0,G.C. Spencer Category:Articles with hCards,20.0,0.0,0.0,6.0,9.0,2.0,15028.0,"$26,721"
20.0,Clyde Lynn Category:Articles with hCards,40.0,0.0,0.0,1.0,15.0,0.0,14856.0,"$13,221"
21.0,Buck Baker Category:Articles with hCards,36.0,0.0,0.0,7.0,14.0,0.0,14504.0,"$14,900"
22.0,Buddy Baker Category:Articles with hCards,41.0,0.0,1.0,1.0,7.0,142.0,14302.0,"$21,335"
23.0,Fred Lorenzen Category:Articles with hCards,11.0,2.0,2.0,6.0,6.0,782.0,12454.0,"$37,305"
24.0,Curtis Turner Category:Articles with hCards,21.0,0.0,2.0,5.0,6.0,385.0,12266.0,"$16,920"
