Name,Championship,FA Cup,League Cup,Total
Dave Kitson,10.0,0.0,0.0,10.0
Kevin Doyle,6.0,0.0,0.0,6.0
James Harper,6.0,0.0,0.0,6.0
Stephen Hunt,4.0,2.0,0.0,6.0
André Bikey,3.0,0.0,0.0,3.0
Shane Long,3.0,0.0,0.0,3.0
Ívar Ingimarsson,2.0,0.0,0.0,2.0
Nicky Shorey,2.0,0.0,0.0,2.0
Leroy Lita,1.0,0.0,1.0,2.0
Own Goal,1.0,0.0,0.0,1.0
Marek Matějovský,1.0,0.0,0.0,1.0
Liam Rosenior,1.0,0.0,0.0,1.0
Kalifa Cissé,1.0,0.0,0.0,1.0
Bobby Convey,0.0,0.0,1.0,1.0
John Halls,0.0,0.0,1.0,1.0
TOTALS,41.0,2.0,3.0,46.0
