Driver,Constructor,Laps,Time/Retired,Grid
Mika Häkkinen,McLaren - Mercedes,77.0,1:45:33.869,3.0
Michael Schumacher,Ferrari,77.0,+7.917,1.0
David Coulthard,McLaren - Mercedes,77.0,+8.455,2.0
Rubens Barrichello,Ferrari,77.0,+44.157,5.0
Ralf Schumacher,Williams - BMW,77.0,+50.437,4.0
Heinz-Harald Frentzen,Jordan - Mugen-Honda,77.0,+1:08.099,6.0
Jarno Trulli,Jordan - Mugen-Honda,76.0,+1 Lap,12.0
Eddie Irvine,Jaguar - Cosworth,76.0,+1 Lap,10.0
Jenson Button,Williams - BMW,76.0,+1 Lap,8.0
Mika Salo,Sauber - Petronas,76.0,+1 Lap,9.0
Alexander Wurz,Benetton - Playlife,76.0,+1 Lap,11.0
Jacques Villeneuve,BAR - Honda,75.0,+2 Laps,16.0
Jos Verstappen,Arrows - Supertec,75.0,+2 Laps,20.0
Ricardo Zonta,BAR - Honda,75.0,+2 Laps,18.0
Marc Gené,Minardi - Fondmetal,74.0,+3 Laps,21.0
Pedro de la Rosa,Arrows - Supertec,73.0,+4 Laps,15.0
Gastón Mazzacane,Minardi - Fondmetal,68.0,Engine,22.0
Johnny Herbert,Jaguar - Cosworth,67.0,Gearbox,17.0
Pedro Diniz,Sauber - Petronas,62.0,Transmission,13.0
Giancarlo Fisichella,Benetton - Playlife,31.0,Brakes,7.0
Nick Heidfeld,Prost - Peugeot,22.0,Electrical,19.0
Jean Alesi,Prost - Peugeot,11.0,Suspension,14.0
