Year,Competition,Venue,Position,Notes
1992.0,World Junior Championships,"Seoul, South Korea",1st,4 × 400 m relay
1993.0,European Junior Championships,"San Sebastián, Spain",1st,400 m hurdles
1994.0,World Junior Championships,"Lisbon, Portugal",1st,400 m hurdles
1994.0,World Junior Championships,"Lisbon, Portugal",2nd,4 x 400 m relay
1995.0,European Junior Championships,"Nyíregyháza , Hungary",1st,400 m hurdles
1995.0,World University Games,"Fukuoka , Japan",2nd,400 m hurdles
1996.0,Olympic Games,"Atlanta, United States",7th,400 m hurdles
1997.0,World Indoor Championships,"Paris, France",4th,400 m
1998.0,IAAF World Cup,"Johannesburg, South Africa",4th,400 m hurdles
1998.0,European Championships,"Budapest, Hungary",1st,400 m hurdles
1998.0,European Indoor Championships,"Valencia, Spain",2nd,400 m
1999.0,World Indoor Championships,"Maebashi , Japan",1st,200 m
1999.0,World University Games,"Palma de Mallorca, Spain",1st,400 m
2000.0,Olympic Games,"Sydney, Australia",6th,400 m hurdles
2001.0,World Championships,"Edmonton, Canada",6th,400 m hurdles
2001.0,Grand Prix Final,"Melbourne, Australia",6th,400 m hurdles
2002.0,European Championships,"Munich, Germany",1st,400 m hurdles
2002.0,IAAF World Cup,"Madrid, Spain",4th,400 m hurdles
2003.0,World Athletics Final,"Monte Carlo, Monaco",3rd,400 m hurdles
2003.0,World Championships,"Paris, France",4th,400 m hurdles
2004.0,Olympic Games,"Athens, Greece",2nd,400 m hurdles
2004.0,World Indoor Championships,"Budapest, Hungary",4th,400 m
2004.0,World Indoor Championships,"Budapest, Hungary",3rd,4 x 400 m relay
2004.0,World Athletics Final,"Monte Carlo, Monaco",4th,400 m hurdles
