Week,Date,Opponent,Result,Attendance
1.0,"September 10, 1989",San Diego Chargers,W 40–14,40237.0
2.0,"September 17, 1989",at Kansas City Chiefs,L 24–19,71741.0
3.0,"September 24, 1989",at Denver Broncos,L 31–21,75754.0
4.0,"October 1, 1989",Seattle Seahawks,L 24–20,44319.0
5.0,"October 9, 1989",at New York Jets,W 14–7,68040.0
6.0,"October 15, 1989",Kansas City Chiefs,W 20–14,40453.0
7.0,"October 22, 1989",at Philadelphia Eagles,L 10–7,64019.0
8.0,"October 29, 1989",Washington Redskins,W 37–24,52781.0
9.0,"November 5, 1989",Cincinnati Bengals,W 28–7,51080.0
10.0,"November 12, 1989",at San Diego Chargers,L 14–12,59151.0
11.0,"November 19, 1989",at Houston Oilers,L 23–7,59198.0
12.0,"November 26, 1989",New England Patriots,W 24–21,38747.0
13.0,"December 3, 1989",Denver Broncos,W 16–13,87560.0
14.0,"December 10, 1989",Phoenix Cardinals,W 16–14,41785.0
15.0,"December 17, 1989",at Seattle Seahawks,L 23–17,61076.0
16.0,"December 24, 1989",at New York Giants,L 34–17,70306.0
