Heat,Lane,Name,Country,Mark
1.0,6.0,Dwain Chambers,United Kingdom,6.69
1.0,2.0,Isaac Uche,Nigeria,6.74
1.0,1.0,Ihor Bodrov,Ukraine,6.76
1.0,5.0,Amr Ibrahim Mostafa Seoud,Egypt,6.78 NR
1.0,3.0,Gibrilla Pato Bangura,Sierra Leone,6.89
1.0,7.0,Khalil Al-Hanahneh,Jordan,7.14
1.0,8.0,Aisea Tohi,Tonga,7.24 PB
1.0,4.0,Reginaldo Micha Ndong,Equatorial Guinea,7.72 PB
2.0,5.0,Leroy Dixon,United States,6.64
2.0,3.0,Francis Obikwelu,Portugal,6.70
2.0,2.0,Fabio Cerutti,Italy,6.73
2.0,7.0,Kael Becerra,Chile,6.75
2.0,8.0,Danny D'Souza,Seychelles,7.02 NR
2.0,4.0,Moudjib Toyb,Comoros,7.03
2.0,6.0,Michael Alicto,Guam,7.27 PB
2.0,1.0,Federico Gorrieri,San Marino,7.49 SB
3.0,3.0,Kim Collins,Saint Kitts and Nevis,6.70
3.0,5.0,Andrey Yepishin,Russia,6.76
3.0,8.0,José Varlos Moreira,Brazil,6.79
3.0,2.0,Seth Amoo,Ghana,6.88
3.0,1.0,Seng Song Poh,Singapore,6.93 SB
3.0,6.0,Sébastien Gattuso,Monaco,6.94 NR
3.0,7.0,Taufik Rahmadi,Indonesia,6.97 PB
3.0,4.0,Tavita Solomona,Samoa,7.35 PB
4.0,7.0,Simone Collio,Italy,6.71
4.0,1.0,Martial Mbandjock,France,6.72
4.0,8.0,Dmytro Hlushchenko,Ukraine,6.77
4.0,2.0,Adrian Durant,United States Virgin Islands,6.78
4.0,5.0,Omar Jouma Bilal Al-Salfa,United Arab Emirates,6.88
4.0,3.0,Jack Howard,Federated States of Micronesia,7.13 SB
4.0,4.0,Abraham Kepsen,Vanuatu,7.44 PB
4.0,6.0,Kermeliss Olonghot,Republic of the Congo,DNS
5.0,7.0,Olusoji Fasuba,Nigeria,6.64
5.0,8.0,Brendan Christian,Antigua and Barbuda,6.67
5.0,2.0,Henry Vizcaino,Cuba,6.70
5.0,5.0,Chun Wai Leung,Hong Kong,6.97
5.0,4.0,Idrissa Sanou,Burkina Faso,7.03
5.0,3.0,Aleksandr Abrahamyan,Armenia,7.38 PB
5.0,6.0,Dylab Menzies,Norfolk Island,7.42 SB
6.0,5.0,Simeon Williamson,United Kingdom,6.69
6.0,2.0,Marius Broening,Germany,6.74
6.0,1.0,Maarten Heisen,Netherlands,6.77
6.0,4.0,Ramil Guliyev,Azerbaijan,6.84
6.0,6.0,Darren Gilford,Malta,6.99 SB
6.0,7.0,Hin Fong Pao,Macau,7.07 SB
6.0,3.0,Rabangaki Nawai,Kiribati,7.26 PB
6.0,8.0,Leon Mengloi,Palau,7.51 PB
7.0,4.0,Yhann Plummer,Jamaica,6.64 PB
7.0,8.0,Vicente de Lima,Brazil,6.71
7.0,5.0,Alex Trembach,Israel,6.93
7.0,2.0,Adrian Ferreira,Paraguay,7.19 PB
7.0,3.0,Kilakone Siphonexay,Laos,7.41 PB
7.0,7.0,Daniel Bailey,Antigua and Barbuda,DSQ
7.0,6.0,Ben Youssef Meité,Ivory Coast,DNS
7.0,1.0,Sompote Suwannarangsri,Thailand,DNS
8.0,8.0,Michael Rodgers,United States,6.62
8.0,6.0,Ángel David Rodríguez,Spain,6.69
8.0,5.0,Rolando Palacios,Honduras,6.83
8.0,4.0,Jared Lewis,Saint Vincent and the Grenadines,6.89
8.0,2.0,Lerone Clarke,Jamaica,6.89
8.0,3.0,Francis Manioru,Solomon Islands,7.22 SB
8.0,7.0,Shahriful Bahrin Zainal,Brunei,7.44 NR
