Pick,Player,Team,Position,School
1.0,Kris Benson,Pittsburgh Pirates,P,Clemson University
2.0,Travis Lee,Minnesota Twins,1B,San Diego State University
3.0,Braden Looper,St. Louis Cardinals,P,Wichita State University
4.0,Billy Koch,Toronto Blue Jays,P,Clemson University
5.0,John Patterson,Montreal Expos,P,"West Orange Stark HS (West Orange, TX)"
6.0,Seth Greisinger,Detroit Tigers,P,University of Virginia
7.0,Matt White,San Francisco Giants,P,"Waynesboro Area HS (Waynesboro, PA)"
8.0,Chad Green,Milwaukee Brewers,OF,University of Kentucky
9.0,Mark Kotsay,Florida Marlins,OF,Cal State Fullerton University
10.0,Eric Chavez,Oakland Athletics,3B,"Mount Carmel HS (San Diego, CA)"
11.0,Adam Eaton,Philadelphia Phillies,P,"Snohomish HS (Snohomish, WA)"
12.0,Bobby Seay,Chicago White Sox,P,"Sarasota HS (Sarasota, FL)"
13.0,Rob Stratton,New York Mets,OF,"San Marcos HS (Santa Barbara, CA)"
14.0,Dermal Brown,Kansas City Royals,OF,"Marlboro Central HS (Marlboro, NY)"
15.0,Matt Halloran,San Diego Padres,SS,"Chancellor HS (Fredericksburg, VA)"
16.0,Joe Lawrence,Toronto Blue Jays,SS,"Barbe HS (Lake Charles, LA)"
17.0,Todd Noel,Chicago Cubs,P,"North Vermillion HS (Maurice, LA)"
18.0,R.A. Dickey,Texas Rangers,P,University of Tennessee
19.0,Mark Johnson,Houston Astros,P,University of Hawaii
20.0,Eric Milton,New York Yankees,P,University of Maryland
21.0,Jake Westbrook,Colorado Rockies,P,"Madison County HS (Danielsville, GA)"
22.0,Gil Meche,Seattle Mariners,P,"Acadiana HS (Lafayette, LA)"
23.0,Damian Rolls,Los Angeles Dodgers,3B,"Schlagle HS (Kansas City, KS)"
24.0,Sam Marsonek,Texas Rangers,P,"Jesuit HS (Tampa, FL)"
25.0,John Oliver,Cincinnati Reds,OF,"Lake-Lehman HS (Lehman, PA)"
26.0,Josh Garrett,Boston Red Sox,P,"South Spencer HS (Richland, IN)"
27.0,A.J. Zapp,Atlanta Braves,1B,"Center Grove HS (Greenwood, IN)"
28.0,Danny Peoples,Cleveland Indians,1B,University of Texas
29.0,Paul Wilder,Tampa Bay Devil Rays,OF,"Cary HS (Cary, NC)"
30.0,Nick Bierbrodt,Arizona Diamondbacks,P,"Millikan HS (Long Beach, CA)"
