Wicket,Score,Batting partners,Opposition,Venue,City,Year
1st,368.0,Archie MacLaren & Reggie Spooner,Gloucestershire,Aigburth,Liverpool,1903.0
2nd,371.0,Frank Watson & Ernest Tyldesley,Surrey,Old Trafford,Manchester,1928.0
3rd,364.0,Mike Atherton & Neil Fairbrother,Surrey,The Oval,London,1990.0
4th,358.0,Stephen Titchard & Graham Lloyd,Essex,County Ground,Chelmsford,1996.0
5th,360.0,Stuart Law & Carl Hooper,Warwickshire,Edgbaston,Birmingham,2003.0
6th,278.0,Jack Iddon & Henry Butterworth,Sussex,Old Trafford,Manchester,1932.0
7th,248.0,Graham Lloyd & Ian Austin,Yorkshire,Headingley,Leeds,1997.0
8th,158.0,John Lyon & Bob Ratcliffe,Warwickshire,Old Trafford,Manchester,1979.0
9th,142.0,Les Poidevin & Alexander Kermode,Sussex,The Saffrons,Eastbourne,1907.0
10th,173.0,Johnny Briggs & Dick Pilling,Surrey,Aigburth,Liverpool,1885.0
