Municipality,Inhabitants,Mayor,Party,Election
Florence,370702.0,Matteo Renzi,Democratic Party,2009.0
Prato,187994.0,Roberto Cenni,The People of Freedom,2009.0
Livorno,161084.0,Alessandro Cosimi,Democratic Party,2009.0
Arezzo,100140.0,Giuseppe Fanfani,Democratic Party,2011.0
Pistoia,90226.0,Samuele Bertinelli,Democratic Party,2012.0
Pisa,88332.0,Marco Filippeschi,Democratic Party,2008.0
Lucca,84928.0,Alessandro Tambellini,Democratic Party,2012.0
Grosseto,82284.0,Emilio Bonifazi,Democratic Party,2011.0
Massa,71006.0,Alessandro Volpi,Democratic Party,2013.0
Carrara,65612.0,Angelo Zubbani,Italian Socialist Party,2012.0
Viareggio,64564.0,Leonardo Betti,Democratic Party,2013.0
Siena,54561.0,Bruno Valentini,Democratic Party,2013.0
Scandicci,50304.0,Simone Gheri,Democratic Party,2009.0
