Cyclist,Nationality,First win,Latest win,Total
Eddy Merckx Category:Articles with hCards,Belgium,1966.0,1976.0,19.0
Roger De Vlaeminck Category:Articles with hCards,Belgium,1970.0,1979.0,11.0
Costante Girardengo Category:Articles with hCards,Italy,1918.0,1928.0,9.0
Fausto Coppi Category:Articles with hCards,Italy,1946.0,1954.0,9.0
Sean Kelly Category:Articles with hCards,Ireland,1983.0,1992.0,9.0
Rik Van Looy Category:Articles with hCards,Belgium,1958.0,1965.0,8.0
Gino Bartali Category:Articles with hCards,Italy,1939.0,1950.0,7.0
Tom Boonen Category:Articles with hCards,Belgium,2005.0,2012.0,7.0
Henri Pélissier Category:Articles with hCards,France,1911.0,1921.0,6.0
Alfredo Binda Category:Articles with hCards,Italy,1925.0,1931.0,6.0
Fred De Bruyne Category:Articles with hCards,Belgium,1956.0,1959.0,6.0
Francesco Moser Category:Articles with hCards,Italy,1975.0,1984.0,6.0
Moreno Argentin Category:Articles with hCards,Italy,1985.0,1991.0,6.0
Johan Museeuw Category:Articles with hCards,Belgium,1993.0,2002.0,6.0
Fabian Cancellara Category:Articles with hCards,Switzerland,2006.0,2013.0,6.0
Gaetano Belloni Category:Articles with hCards,Italy,1915.0,1928.0,5.0
Rik Van Steenbergen Category:Articles with hCards,Belgium,1944.0,1954.0,5.0
Bernard Hinault Category:Articles with hCards,France,1977.0,1984.0,5.0
Michele Bartoli Category:Articles with hCards,Italy,1996.0,2003.0,5.0
Paolo Bettini Category:Articles with hCards,Italy,2000.0,2006.0,5.0
Gaston Rebry Category:Articles with hCards,Belgium,1931.0,1935.0,4.0
Alphonse Schepers Category:Articles with hCards,Belgium,1931.0,1935.0,4.0
Louison Bobet Category:Articles with hCards,France,1951.0,1956.0,4.0
Germain Derycke Category:Articles with hCards,Belgium,1953.0,1958.0,4.0
Felice Gimondi Category:Articles with hCards,Italy,1966.0,1974.0,4.0
Walter Godefroot Category:Articles with hCards,Belgium,1967.0,1978.0,4.0
Hennie Kuiper Category:Articles with hCards,Netherlands,1981.0,1985.0,4.0
Jan Raas Category:Articles with hCards,Netherlands,1977.0,1983.0,4.0
Erik Zabel Category:Articles with hCards,Germany,1997.0,2001.0,4.0
Octave Lapize Category:Articles with hCards,France,1909.0,1911.0,3.0
Giovanni Brunero Category:Articles with hCards,Italy,1922.0,1924.0,3.0
Romain Gijssels Category:Articles with hCards,Belgium,1931.0,1932.0,3.0
Achiel Buysse Category:Articles with hCards,Belgium,1940.0,1943.0,3.0
Fiorenzo Magni Category:Articles with hCards,Italy,1949.0,1951.0,3.0
Jo de Roo Category:Articles with hCards,Netherlands,1962.0,1965.0,3.0
Emile Daems Category:Articles with hCards,Belgium,1960.0,1963.0,3.0
Tom Simpson Category:Articles with hCards,United Kingdom,1961.0,1965.0,3.0
Eric Leman Category:Articles with hCards,Belgium,1970.0,1973.0,3.0
Peter Van Petegem Category:Articles with hCards,Belgium,1999.0,2003.0,3.0
Andrea Tafi Category:Articles with hCards,Italy,1996.0,2002.0,3.0
Andrei Tchmil Category:Articles with hCards,Belgium,1994.0,2000.0,3.0
Óscar Freire Category:Articles with hCards,Spain,2004.0,2010.0,3.0
Damiano Cunego Category:Articles with hCards,Italy,2004.0,2008.0,3.0
Philippe Gilbert Category:Articles with hCards,Belgium,2009.0,2011.0,3.0
