Rider,Manufacturer,Laps,Time,Grid
Stefan Bradl,Aprilia,20.0,39:57.228,2.0
Mike Di Meglio,Derbi,20.0,+0.151,1.0
Gabor Talmacsi,Aprilia,20.0,+0.281,5.0
Joan Olivé,Derbi,20.0,+5.945,12.0
Nicolas Terol,Aprilia,20.0,+6.072,3.0
Sandro Cortese,Aprilia,20.0,+6.135,4.0
Simone Corsi,Aprilia,20.0,+6.455,15.0
Scott Redding,Aprilia,20.0,+25.393,6.0
Sergio Gadea,Aprilia,20.0,+25.537,10.0
Danny Webb,Aprilia,20.0,+26.192,18.0
Tomoyoshi Koyama,KTM,20.0,+27.307,11.0
Raffaele De Rosa,KTM,20.0,+39.536,19.0
Takaaki Nakagami,Aprilia,20.0,+43.745,20.0
Efren Vazquez,Aprilia,20.0,+51.629,16.0
Alexis Masbou,Loncin,20.0,+51.899,22.0
Jonas Folger,Aprilia,20.0,+51.931,31.0
Lorenzo Zanetti,KTM,20.0,+51.962,23.0
Pablo Nieto,KTM,20.0,+52.589,28.0
Dominique Aegerter,Derbi,20.0,+56.837,7.0
Steve Bonsey,Aprilia,20.0,+56.977,17.0
Marco Ravaioli,Aprilia,20.0,+58.626,30.0
Yuuichi Yanagisawa,Honda,20.0,+59.926,32.0
Robin Lasser,Aprilia,20.0,+1:09.782,25.0
Hiroki Ono,Honda,20.0,+1:14.883,35.0
Adrián Martín,Aprilia,20.0,+1:26.120,29.0
Cyril Carrillo,Honda,20.0,+1:29.130,37.0
Bradley Smith,Aprilia,16.0,Retirement,14.0
Kazuma Watanabe,Honda,16.0,Retirement,34.0
Michael Ranseder,Aprilia,14.0,Retirement,24.0
Iori Namihira,Honda,11.0,Retirement,26.0
Hiroomi Iwata,Honda,10.0,Retirement,27.0
Bastien Chesaux,Aprilia,8.0,Accident,39.0
Robert Muresan,Aprilia,6.0,Accident,33.0
Esteve Rabat,KTM,0.0,Accident,21.0
Jules Cluzel,Loncin,0.0,Accident,36.0
Andrea Iannone,Aprilia,0.0,Accident,9.0
Pol Espargaro,Derbi,0.0,Accident,8.0
Hugo Van Den Berg,Aprilia,0.0,Accident,38.0
Marc Marquez,KTM,0.0,Accident,13.0
