Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,69.0,1:41:12.313,1.0
Rubens Barrichello,Ferrari,69.0,+0.174,3.0
Giancarlo Fisichella,Benetton - Playlife,69.0,+15.365,10.0
Mika Häkkinen,McLaren - Mercedes,69.0,+18.561,4.0
Jos Verstappen,Arrows - Supertec,69.0,+52.208,13.0
Jarno Trulli,Jordan - Mugen-Honda,69.0,+1:01.687,7.0
David Coulthard,McLaren - Mercedes,69.0,+1:02.216,2.0
Ricardo Zonta,BAR - Honda,69.0,+1:10.455,8.0
Alexander Wurz,Benetton - Playlife,69.0,+1:19.899,14.0
Pedro Diniz,Sauber - Petronas,69.0,+1:54.544,19.0
Jenson Button,Williams - BMW,68.0,+1 Lap,18.0
Gastón Mazzacane,Minardi - Fondmetal,68.0,+1 Lap,22.0
Eddie Irvine,Jaguar - Cosworth,66.0,+3 Laps,16.0
Ralf Schumacher,Williams - BMW,64.0,Collision,12.0
Jacques Villeneuve,BAR - Honda,64.0,Collision,6.0
Marc Gené,Minardi - Fondmetal,64.0,Spun off,20.0
Pedro de la Rosa,Arrows - Supertec,48.0,Collision,9.0
Mika Salo,Sauber - Petronas,42.0,Electrical,15.0
Jean Alesi,Prost - Peugeot,38.0,Electrical,17.0
Nick Heidfeld,Prost - Peugeot,34.0,Engine,21.0
Heinz-Harald Frentzen,Jordan - Mugen-Honda,32.0,Brakes,5.0
Johnny Herbert,Jaguar - Cosworth,14.0,Gearbox,11.0
