Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position
2008.0,British Formula Renault 2.0 Winter Series,CR Scuderia,4.0,0.0,0.0,0.0,0.0,56,7th
2008.0,Portuguese Formula Renault 2.0 Winter Series,CR Scuderia,2.0,0.0,0.0,0.0,0.0,8,13th
2009.0,British Formula Renault 2.0,CRS Racing,19.0,0.0,1.0,2.0,4.0,323,5th
2009.0,Formula Renault 2.0 Northern European Cup,CRS Racing,2.0,0.0,0.0,0.0,0.0,8,33rd
2009.0,British Formula Renault 2.0 Winter Series,CRS Racing,4.0,2.0,4.0,1.0,4.0,119,1st
2010.0,British Formula Renault 2.0,CRS Racing,20.0,2.0,2.0,1.0,7.0,375,5th
2011.0,British Formula Three,Fortec Motorsport,30.0,1.0,0.0,0.0,4.0,78,11th
2012.0,British Formula Three,Carlin,28.0,4.0,0.0,1.0,9.0,226,5th
2012.0,FIA European Formula 3 Championship,Carlin,8.0,0.0,0.0,0.0,0.0,0,NC†
2012.0,Macau Grand Prix,s Fortec Motorsport,1.0,0.0,0.0,0.0,0.0,N/A,9th
