Townland,Area( acres ),Barony,Civil parish,Poor law union
Aghagooheen,268.0,West Carbery (W.D.),Kilmocomoge,Bantry
Aghaville,515.0,West Carbery (W.D.),Caheragh,Skibbereen
Altar,295.0,West Carbery (W.D.),Kilmoe,Skull
Ardahill,183.0,West Carbery (W.D.),Kilcrohane,Bantry
Ardanenig,137.0,West Carbery (W.D.),Kilcrohane,Bantry
Arderrawinny,702.0,West Carbery (W.D.),Skull,Skull
Ardintenant,117.0,West Carbery (W.D.),Skull,Skull
Ardmanagh,757.0,West Carbery (W.D.),Skull,Skull
Ardrah,451.0,West Carbery (W.D.),Kilmocomoge,Bantry
Ardura Beg,233.0,West Carbery (W.D.),Kilcoe,Skull
Ardura More,311.0,West Carbery (W.D.),Kilcoe,Skull
Arduslough,55.0,West Carbery (W.D.),Kilmoe,Skull
Aughaleigue Beg,275.0,West Carbery (W.D.),Kilcrohane,Bantry
Aughaleigue More,285.0,West Carbery (W.D.),Kilcrohane,Bantry
Ballaghadown North,235.0,West Carbery (W.D.),Caheragh,Skibbereen
Ballaghadown South,221.0,West Carbery (W.D.),Caheragh,Skibbereen
Ballybane East,847.0,West Carbery (W.D.),Skull,Skull
Ballybane West,610.0,West Carbery (W.D.),Skull,Skull
Ballybrack,121.0,West Carbery (W.D.),Skull,Skull
Ballycommane,1349.0,West Carbery (W.D.),Durrus,Bantry
Ballycummisk,191.0,West Carbery (W.D.),Skull,Skull
Ballydehob,188.0,West Carbery (W.D.),Skull,Skull
Ballydivlin,649.0,West Carbery (W.D.),Kilmoe,Skull
Ballyieragh,578.0,West Carbery (W.D.),Kilcrohane,Bantry
Ballynatra,39.0,West Carbery (W.D.),Kilcrohane,Bantry
Ballynaule,91.0,West Carbery (W.D.),Kilmoe,Skull
Ballyourane,535.0,West Carbery (W.D.),Caheragh,Skibbereen
Ballyrisode,591.0,West Carbery (W.D.),Kilmoe,Skull
Ballyroon,115.0,West Carbery (W.D.),Kilcrohane,Bantry
Ballyroon Mountain,466.0,West Carbery (W.D.),Kilcrohane,Bantry
Ballyvoge Beg,100.0,West Carbery (W.D.),Kilmoe,Skull
Ballyvoge More,240.0,West Carbery (W.D.),Kilmoe,Skull
Ballyvonane,235.0,West Carbery (W.D.),Skull,Skull
Balteen,101.0,West Carbery (W.D.),Skull,Skull
Balteen,605.0,West Carbery (W.D.),Kilmoe,Skull
Barna,302.0,West Carbery (W.D.),Caheragh,Skibbereen
Barnatonicane,261.0,West Carbery (W.D.),Skull,Skull
Barryroe,685.0,West Carbery (W.D.),Skull,Skull
Bauravilla,579.0,West Carbery (W.D.),Caheragh,Skibbereen
