Position,Team,Points,Played,Drawn,Lost,Against,Difference
1.0,São Paulo,33.0,20.0,3.0,2.0,22.0,41
2.0,Corinthians,32.0,20.0,2.0,3.0,28.0,43
3.0,Palmeiras,31.0,20.0,3.0,3.0,20.0,33
4.0,Juventus,23.0,20.0,5.0,6.0,31.0,18
5.0,Ypiranga-SP,23.0,20.0,1.0,8.0,40.0,1
6.0,Santos,21.0,20.0,1.0,9.0,39.0,6
7.0,Portuguesa,21.0,20.0,3.0,8.0,34.0,5
8.0,Comercial-SP,12.0,20.0,2.0,13.0,53.0,- 16
9.0,Portuguesa Santista,10.0,20.0,2.0,14.0,81.0,- 49
10.0,São Paulo Railway,9.0,20.0,1.0,15.0,77.0,- 39
11.0,Jabaquara,5.0,20.0,1.0,17.0,73.0,- 43
