Year,Team,Progress,Score,Opponents
1995.0,Sheffield Wednesday,2nd in group stage,N/A,"Karlsruhe , Basel , AGF Aarhus , Górnik Zabrze"
1995.0,Tottenham Hotspur,4th in group stage,N/A,"1. FC Köln , Luzern , Öster , Rudar Velenje"
1995.0,Wimbledon,4th in group stage,N/A,"Bursaspor , Košice , Charleroi , Beitar Jerusalem"
1996.0,No entrants,No entrants,No entrants,No entrants
1997.0,No entrants,No entrants,No entrants,No entrants
1998.0,Crystal Palace,Third round,0–4,Samsunspor
1999.0,West Ham United,Winners,3–2,Metz
2000.0,Bradford City,Fourth round,0–4,Zenit Saint Petersburg
2000.0,Aston Villa,Fourth round,1–3,Celta de Vigo
2001.0,Newcastle United,Final,4–4 ( a ),Troyes
2001.0,Aston Villa,Winners,5–2,Basel
2002.0,Aston Villa,Fourth round,1–3,Lille
2002.0,Fulham,Winners,5–3,Bologna
2003.0,No entrants,No entrants,No entrants,No entrants
2004.0,No entrants,No entrants,No entrants,No entrants
2005.0,Newcastle United,Fourth round,2–4,Deportivo de La Coruña
2006.0,Newcastle United,Winners,4–1,Lillestrøm
2007.0,Blackburn Rovers,Won in third round,6–0,Vėtra
2008.0,Aston Villa,Won in third round,3–2,Odense
