Driver,Constructor,Laps,Time/Retired,Grid
Mika Häkkinen,McLaren - Mercedes,53.0,1:31:18.785,2.0
Michael Schumacher,Ferrari,53.0,+5.015,1.0
Eddie Irvine,Ferrari,53.0,+1:35.688,5.0
Heinz-Harald Frentzen,Jordan - Mugen-Honda,53.0,+1:38.635,4.0
Ralf Schumacher,Williams - Supertec,53.0,+1:39.494,9.0
Jean Alesi,Sauber - Petronas,52.0,+1 Lap,10.0
Johnny Herbert,Stewart - Ford,52.0,+1 Lap,8.0
Rubens Barrichello,Stewart - Ford,52.0,+1 Lap,13.0
Jacques Villeneuve,BAR - Supertec,52.0,+1 Lap,11.0
Alexander Wurz,Benetton - Playlife,52.0,+1 Lap,15.0
Pedro Diniz,Sauber - Petronas,52.0,+1 Lap,17.0
Ricardo Zonta,BAR - Supertec,52.0,+1 Lap,18.0
Pedro de la Rosa,Arrows,51.0,+2 Laps,21.0
Giancarlo Fisichella,Benetton - Playlife,47.0,Engine,14.0
Toranosuke Takagi,Arrows,43.0,Gearbox,19.0
Luca Badoer,Minardi - Ford,43.0,Engine,22.0
David Coulthard,McLaren - Mercedes,39.0,Hydraulics,3.0
Marc Gené,Minardi - Ford,31.0,Gearbox,20.0
Damon Hill,Jordan - Mugen-Honda,21.0,Withdrew,12.0
Olivier Panis,Prost - Peugeot,19.0,Alternator,6.0
Jarno Trulli,Prost - Peugeot,3.0,Engine,7.0
Alessandro Zanardi,Williams - Supertec,0.0,Electrical,16.0
