Sd,Rk,Player,Points,Points defending,Points won,New points,Status
1.0,1.0,Caroline Wozniacki,7485.0,900,500.0,7085.0,Quarterfinals lost to Kim Clijsters [11]
2.0,2.0,Petra Kvitová,7290.0,500,900.0,7690.0,Semifinals lost to Maria Sharapova [4]
4.0,4.0,Maria Sharapova,6440.0,280,1400.0,7560.0,"Runner-up, Final lost to Victoria Azarenka [3]"
5.0,5.0,Li Na,5570.0,"1,400",280.0,4450.0,Fourth round lost to Kim Clijsters [11]
6.0,6.0,Samantha Stosur,5585.0,160,5.0,5430.0,First round lost to Sorana Cîrstea
7.0,7.0,Vera Zvonareva,5435.0,900,160.0,4695.0,Third round lost to Ekaterina Makarova
8.0,8.0,Agnieszka Radwańska,5330.0,500,500.0,5330.0,Quarterfinals lost to Victoria Azarenka [3]
9.0,9.0,Marion Bartoli,4710.0,100,160.0,4770.0,Third round lost to Zheng Jie
10.0,11.0,Francesca Schiavone,4040.0,500,100.0,3640.0,Second round lost to Romina Oprandi
11.0,12.0,Kim Clijsters,3041.0,"2,000",900.0,1941.0,Semifinals lost to Victoria Azarenka [3]
12.0,13.0,Serena Williams,3300.0,0,280.0,3580.0,Fourth round lost to Ekaterina Makarova
13.0,14.0,Jelena Janković,3115.0,100,280.0,3295.0,Fourth round lost to Caroline Wozniacki [1]
14.0,15.0,Sabine Lisicki,2903.0,(40),280.0,3143.0,Fourth round lost to Maria Sharapova [4]
15.0,16.0,Anastasia Pavlyuchenkova,2795.0,160,100.0,2735.0,Second round lost to Vania King
16.0,17.0,Peng Shuai,2760.0,280,100.0,2580.0,Second round lost to Iveta Benešová
17.0,18.0,Dominika Cibulková,2695.0,160,100.0,2635.0,Second round lost to Gréta Arn
18.0,19.0,Svetlana Kuznetsova,2646.0,280,160.0,2526.0,Third round lost to Sabine Lisicki [14]
19.0,20.0,Flavia Pennetta,2570.0,280,5.0,2295.0,First round lost to Nina Bratchikova [Q]
20.0,21.0,Daniela Hantuchová,2295.0,5,160.0,2450.0,Third round lost to Kim Clijsters [11]
21.0,22.0,Ana Ivanovic,2260.0,5,280.0,2535.0,Fourth round lost to Petra Kvitová [2]
22.0,23.0,Julia Görges,2225.0,160,280.0,2345.0,Fourth round lost to Agnieszka Radwańska [8]
23.0,24.0,Roberta Vinci,2115.0,5,100.0,2210.0,Second round lost to Zheng Jie
24.0,25.0,Lucie Šafářová,2120.0,160,5.0,1965.0,First round lost to Christina McHale
25.0,26.0,Kaia Kanepi,2049.0,100,100.0,2049.0,Second round lost to Ekaterina Makarova
26.0,27.0,Anabel Medina Garrigues,1950.0,5,160.0,2105.0,Third round retired against Li Na [5]
27.0,28.0,Maria Kirilenko,1930.0,100,160.0,1990.0,Third round retired against Petra Kvitová [2]
28.0,29.0,Yanina Wickmayer,2050.0,100,5.0,1955.0,First round lost to Galina Voskoboeva
29.0,30.0,Nadia Petrova,1765.0,160,100.0,1705.0,Second round lost to Sara Errani
30.0,31.0,Angelique Kerber,1810.0,5,160.0,1965.0,Third round lost to Maria Sharapova [4]
31.0,32.0,Monica Niculescu,1725.0,160,160.0,1725.0,Third round lost to Caroline Wozniacki [1]
