Year,Kentucky Derby,The Preakness Stakes,Kentucky Oaks,Belmont Stakes,Travers Stakes,Breeders Cup Saturday,Breeders Cup Friday
2013.0,151616.0,"117,203","113,280","47,562",t.b.a.,t.b.a.,t.b.a.
2012.0,165307.0,"121,309","112,552","85,811","46,528","55,123","34,619"
2011.0,164858.0,"118,356","110,122","55,779","43,050","65,143","40,677"
2010.0,155804.0,"96,760","116,046","45,243","45,764","72,739","41,614"
2009.0,153563.0,"# 77,850","110,336","52,861","34,221","58,845","37,651"
2008.0,157770.0,"121,876","100,046","94,476","40,723","55,331","31,237"
2007.0,156635.0,"132,221","100,175","46,870","38,909","69,584","27,803"
2006.0,157536.0,"128,643","108,065","61,168","44,199","75,132",not run
2005.0,156435.0,"125,687","111,243","62,274","42,841","54,289",not run
2004.0,140054.0,"124,351","98,445","120,139","48,894","53,717",not run
2003.0,148530.0,"109,931","100,523","101,864","66,122","51,486",not run
2002.0,145033.0,"117,055","101,932","103,222",not avail.,"46,118",not run
2001.0,154210.0,"118,926","102,904","73,857","60,486","52,987",not run
2000.0,153204.0,"111,821","106,156","67,810",not avail.,"76,043",not run
1999.0,151051.0,"116,526","101,034","85,818",not avail.,"45,124",not run
1998.0,143215.0,"103,269","94,415","80,162",not avail.,"80,452",not run
1997.0,141981.0,"102,118","92,547","70,682",not avail.,"51,161",not run
1996.0,142668.0,"97,751","91,830","40,797",not avail.,"42,243",not run
1995.0,144110.0,"100,818","87,383","37,171","48,773","37,246",not run
1994.0,130594.0,"99,834","80,321","42,695",not avail.,"71,671",not run
1993.0,136817.0,"97,641","81,882","45,037",not avail.,"55,130",not run
1992.0,132543.0,"96,865","79,824","50,204",not avail.,"45,415",not run
1991.0,135554.0,"96,695","73,785","51,766","50,359","66,204",not run
1990.0,128257.0,"96,106","67,483","50,123",not avail.,"51,236",not run
1989.0,122653.0,"98,896","67,115","64,949",not avail.,"51,342",not run
1988.0,137694.0,"88,654","64,735","56,223",not avail.,"71,237",not run
1987.0,130532.0,"87,945","62,689","64,772",not avail.,"57,734",not run
1986.0,123819.0,"87,652","58,893","42,555",not avail.,"69,155",not run
1985.0,108573.0,"81,235","52,865","43,446",not avail.,"42,568",not run
1984.0,126453.0,"80,566","53,402","56,677",not avail.,"64,254",not run
1983.0,134444.0,"71,768","54,601","56,677",not avail.,not run,not run
1982.0,141009.0,"80,724","52,430","46,050",not avail.,not run,not run
1981.0,139195.0,"84,133","51,918","61,200",not avail.,not run,not run
1980.0,131859.0,"83,455","49,556","58,883",not avail.,not run,not run
1979.0,128488.0,"72,607","47,000","59,073",not avail.,not run,not run
1978.0,131004.0,"81,261",not avail.,"65,417",not avail.,not run,not run
1977.0,124038.0,"77,346",not avail.,"71,026",not avail.,not run,not run
1976.0,115387.0,"62,256",not avail.,"58,788",not avail.,not run,not run
1975.0,113324.0,"75,216",not avail.,"60,611",not avail.,not run,not run
1974.0,163628.0,"54,911",not avail.,"52,153",not avail.,not run,not run
1973.0,134476.0,"61,657",not avail.,"67,605",not avail.,not run,not run
1972.0,130564.0,"48,721",not avail.,"54,635",not avail.,not run,not run
1971.0,123284.0,"47,221",not avail.,"82,694",not avail.,not run,not run
1970.0,105087.0,"42,474",not avail.,"54,299",not avail.,not run,not run
1969.0,113200.0,"42,258",not avail.,not avail.,not avail.,not run,not run
1968.0,122600.0,"40,247",not avail.,not avail.,not avail.,not run,not run
1967.0,119700.0,"38,371",not avail.,not avail.,not avail.,not run,not run
1966.0,120500.0,"36,114",not avail.,not avail.,not avail.,not run,not run
1965.0,112000.0,"38,108",not avail.,not avail.,not avail.,not run,not run
1964.0,114300.0,"35,975",not avail.,not avail.,not avail.,not run,not run
1963.0,108900.0,"35,263",not avail.,not avail.,not avail.,not run,not run
1962.0,119650.0,"33,854",not avail.,not avail.,not avail.,not run,not run
1961.0,120500.0,"32,211",not avail.,not avail.,not avail.,not run,not run
1960.0,114850.0,"30,659",not avail.,not avail.,not avail.,not run,not run
1959.0,119650.0,"31,506",not avail.,not avail.,not avail.,not run,not run
1958.0,116400.0,"36,912",not avail.,not avail.,not avail.,not run,not run
1957.0,107950.0,"32,856",not avail.,not avail.,not avail.,not run,not run
