Code,Type,Name,Regional County Municipality,Region
52007.0,V,Lavaltrie,D'Autray,14.0
52017.0,M,Lanoraie,D'Autray,14.0
52030.0,M,Sainte-Élisabeth,D'Autray,14.0
52035.0,V,Berthierville,D'Autray,14.0
52040.0,M,Sainte-Geneviève-de-Berthier,D'Autray,14.0
52045.0,M,Saint-Ignace-de-Loyola,D'Autray,14.0
52050.0,M,La Visitation-de-l'Île-Dupas,D'Autray,14.0
52055.0,P,Saint-Barthélemy,D'Autray,14.0
52062.0,M,Saint-Cuthbert,D'Autray,14.0
52070.0,P,Saint-Norbert,D'Autray,14.0
52075.0,M,Saint-Cléophas-de-Brandon,D'Autray,14.0
52080.0,V,Saint-Gabriel,D'Autray,14.0
52085.0,P,Saint-Gabriel-de-Brandon,D'Autray,14.0
52090.0,P,Saint-Didace,D'Autray,14.0
52095.0,M,Mandeville,D'Autray,14.0
60005.0,V,Charlemagne,L'Assomption,14.0
60013.0,V,Repentigny,L'Assomption,14.0
60020.0,P,Saint-Sulpice,L'Assomption,14.0
60028.0,V,L'Assomption,L'Assomption,14.0
60035.0,V,L'Épiphanie,L'Assomption,14.0
60040.0,P,L'Épiphanie,L'Assomption,14.0
61005.0,M,Saint-Paul,Joliette,14.0
61013.0,M,Crabtree,Joliette,14.0
61020.0,VL,Saint-Pierre,Joliette,14.0
61025.0,V,Joliette,Joliette,14.0
61027.0,M,Saint-Thomas,Joliette,14.0
61030.0,V,Notre-Dame-des-Prairies,Joliette,14.0
61035.0,M,Saint-Charles-Borromée,Joliette,14.0
61040.0,P,Saint-Ambroise-de-Kildare,Joliette,14.0
61045.0,M,Notre-Dame-de-Lourdes,Joliette,14.0
61050.0,M,Sainte-Mélanie,Joliette,14.0
62007.0,M,Saint-Félix-de-Valois,Matawinie,14.0
62015.0,M,Saint-Jean-de-Matha,Matawinie,14.0
62020.0,M,Sainte-Béatrix,Matawinie,14.0
62025.0,M,Saint-Alphonse-Rodriguez,Matawinie,14.0
62030.0,M,Sainte-Marcelline-de-Kildare,Matawinie,14.0
62037.0,M,Rawdon,Matawinie,14.0
62047.0,M,Chertsey,Matawinie,14.0
62053.0,M,Entrelacs,Matawinie,14.0
62055.0,M,Notre-Dame-de-la-Merci,Matawinie,14.0
62060.0,M,Saint-Donat,Matawinie,14.0
62065.0,P,Saint-Côme,Matawinie,14.0
62070.0,M,Sainte-Émélie-de-l'Énergie,Matawinie,14.0
62075.0,P,Saint-Damien,Matawinie,14.0
62080.0,M,Saint-Zénon,Matawinie,14.0
62085.0,M,Saint-Michel-des-Saints,Matawinie,14.0
63005.0,P,Sainte-Marie-Salomé,Montcalm,14.0
63013.0,M,Saint-Jacques,Montcalm,14.0
63023.0,M,Saint-Alexis,Montcalm,14.0
63030.0,M,Saint-Esprit,Montcalm,14.0
63035.0,M,Saint-Roch-de-l'Achigan,Montcalm,14.0
63040.0,M,Saint-Roch-Ouest,Montcalm,14.0
63048.0,V,Saint-Lin–Laurentides,Montcalm,14.0
63055.0,M,Saint-Calixte,Montcalm,14.0
63060.0,M,Sainte-Julienne,Montcalm,14.0
63065.0,P,Saint-Liguori,Montcalm,14.0
64008.0,V,Terrebonne,Les Moulins,14.0
64015.0,V,Mascouche,Les Moulins,14.0
