Player,W-L (Total),W-L ( Singles ),W-L ( Doubles ),Ties,Debut,Years Played
Ivana Abramović Category:Articles with hCards,1–1,0–1,1–0,1.0,2004.0,1.0
Sanja Ančić Category:Articles with hCards,1–2,1–1,0–1,2.0,2006.0,2.0
Nadin Ercegović Category:Articles with hCards,14–6,9–4,5–2,16.0,1992.0,4.0
Darija Jurak Category:Articles with hCards,5–2,1–0,4–2,7.0,2003.0,3.0
Ana Konjuh Category:Articles with hCards,4–1,3–0,1–1,4.0,2013.0,1.0
Jelena Kostanić Category:Articles with hCards,19–20,12–13,7–7,21.0,1998.0,11.0
Dora Krstulović Category:Articles with hCards,0–1,0–0,0–1,1.0,1998.0,1.0
Ivana Lisjak Category:Articles with hCards,2–5,0–5,2–0,4.0,2004.0,3.0
Mirjana Lučić Category:Articles with hCards,14–3,12–1,2–2,9.0,1996.0,3.0
Iva Majoli Category:Articles with hCards,21–19,15–14,6–5,22.0,1993.0,11.0
Sanda Mamić Category:Articles with hCards,2–5,1–4,1–1,6.0,2001.0,3.0
Petra Martić Category:Articles with hCards,6–7,5–4,1–3,11.0,2008.0,4.0
Gorana Matić Category:Articles with hCards,2–2,0–1,2–1,4.0,1992.0,1.0
Matea Mezak Category:Articles with hCards,4–4,1–2,3–2,6.0,2001.0,4.0
Ani Mijačika Category:Articles with hCards,4–5,2–2,2–3,7.0,2011.0,2.0
Tereza Mrdeža Category:Articles with hCards,4–1,1–1,3–0,5.0,2012.0,2.0
Maja Murić Category:Articles with hCards,14–6,1–1,13–5,18.0,1992.0,5.0
Silvia Njirić Category:Articles with hCards,0–8,0–3,0–5,6.0,2010.0,2.0
Nika Ožegović Category:Articles with hCards,2–5,2–4,0–1,4.0,2005.0,3.0
Maja Palaveršić Category:Articles with hCards,6–2,6–2,0–0,8.0,1992.0,2.0
Jelena Pandžić Category:Articles with hCards,0–2,0–2,0–0,2.0,2011.0,1.0
Karolina Šprem Category:Articles with hCards,9–7,6–5,3–2,9.0,2001.0,6.0
Silvija Talaja Category:Articles with hCards,12–12,7–5,5–7,16.0,1993.0,6.0
Ajla Tomljanović Category:Articles with hCards,4–7,3–3,1–4,8.0,2010.0,2.0
Donna Vekić Category:Articles with hCards,4–3,4–2,0–1,6.0,2012.0,2.0
