Total tenure rank,Uninterrupted rank,Name,Party affiliation,Total tenure time,Uninterrupted time
1.0,1.0,John Dingell (H),Democratic Party,"58years, 50days","58years, 50days"
2.0,2.0,"Robert Byrd (H,S)",Democratic Party,"57 years, 176 days","57 years, 176 days"
3.0,3.0,"Carl Hayden (H,S)",Democratic Party,"56 years, 319 days","56 years, 319 days"
4.0,4.0,"Daniel Inouye (H,S)",Democratic Party,"53 years, 118 days","53 years, 118 days"
5.0,5.0,Jamie L. Whitten (H),Democratic Party,"53 years, 60 days","53 years, 60 days"
6.0,6.0,Carl Vinson (H),Democratic Party,"50 years, 61 days","50 years, 61 days"
7.0,7.0,Emanuel Celler (H),Democratic Party,"49 years, 305 days","49 years, 305 days"
8.0,8.0,John Conyers (H),Democratic Party,"49years, 29days","49years, 29days"
9.0,9.0,Sam Rayburn (H),Democratic Party,"48 years, 257 days","48 years, 257 days"
10.0,999.0,"Sidney R. Yates (H,I)",Democratic Party,"48 years, 0 days",n/a
11.0,12.0,"Strom Thurmond (S,I)",Republican Party,"47 years, 159 days","46 years, 57 days"
12.0,10.0,Wright Patman (H),Democratic Party,"47 years, 3 days","47 years, 3 days"
13.0,11.0,Ted Kennedy (S),Democratic Party,"46 years, 292 days","46 years, 292 days"
14.0,999.0,"Joseph Gurney Cannon (H,I)",Republican Party,"46 years, 0 days",n/a
15.0,13.0,Adolph J. Sabath (H),Democratic Party,"45 years, 247 days","45 years, 247 days"
16.0,14.0,"J. Lister Hill (H,S)",Democratic Party,"45 years, 142 days","45 years, 142 days"
17.0,15.0,George H. Mahon (H),Democratic Party,"44 years, 0 days","44 years, 0 days"
18.0,16.0,"Warren Magnuson (H,S)",Democratic Party,"44 years, 0 days","44 years, 0 days"
19.0,17.0,Charles Edward Bennett (H),Democratic Party,"44 years, 0 days","44 years, 0 days"
20.0,18.0,"Justin Smith Morrill (H,S)",Republican Party,"43 years, 299 days","43 years, 299 days"
21.0,999.0,"William B. Allison (H,S,I)",Republican Party,"43 years, 152 days",n/a
22.0,19.0,Charles Melvin Price (H),Democratic Party,"43 years, 110 days","43 years, 110 days"
23.0,20.0,Charles B. Rangel (H),Democratic Party,"43years, 29days","43years, 29days"
24.0,21.0,Bill Young (H),Republican Party,"42 years, 288 days","42 years, 288 days"
25.0,22.0,"Henry M. Jackson (H,S)",Democratic Party,"42 years, 241 days","42 years, 241 days"
26.0,999.0,"Carter Glass (H,S,I)",Democratic Party,"42 years, 157 days",n/a
27.0,23.0,John William McCormack (H),Democratic Party,"42 years, 58 days","42 years, 58 days"
28.0,24.0,"John Sparkman (H,S)",Democratic Party,"42 years, 0 days","42 years, 0 days"
29.0,25.0,William R. Poage (H),Democratic Party,"42 years, 0 days","42 years, 0 days"
30.0,26.0,Jack Brooks (H),Democratic Party,"42 years, 0 days","42 years, 0 days"
31.0,27.0,Robert L. Doughton (H),Democratic Party,"41 years, 305 days","41 years, 305 days"
32.0,28.0,"Joseph William Martin, Jr. (H)",Republican Party,"41 years, 305 days","41 years, 305 days"
33.0,29.0,Dave Obey (H),Democratic Party,"41 years, 276 days","41 years, 276 days"
34.0,30.0,Clarence Cannon (H),Democratic Party,"41 years, 69 days","41 years, 69 days"
35.0,31.0,John C. Stennis (S),Democratic Party,"41 years, 59 days","41 years, 59 days"
36.0,32.0,"Kenneth McKellar (H,S)",Democratic Party,"41 years, 30 days","41 years, 30 days"
37.0,33.0,"Thad Cochran (H,S)",Republican Party,"41years, 29days","41years, 29days"
38.0,34.0,Don Young (H),Republican Party,"40years, 332days","40years, 332days"
39.0,35.0,William Huston Natcher (H),Democratic Party,"40 years, 240 days","40 years, 240 days"
40.0,999.0,"Claude Pepper (H,S,I)",Democratic Party,"40 years, 207 days",n/a
41.0,36.0,"William P. Frye (H,S)",Republican Party,"40 years, 157 days","40 years, 157 days"
42.0,37.0,Ted Stevens (S),Republican Party,"40 years, 10 days","40 years, 10 days"
43.0,38.0,"Carl Curtis (H,S)",Republican Party,"40 years, 0 days","40 years, 0 days"
44.0,39.0,Peter W. Rodino (H),Democratic Party,"40 years, 0 days","40 years, 0 days"
45.0,40.0,Pete Stark (H),Democratic Party,"40 years, 0 days","40 years, 0 days"
46.0,999.0,"Jennings Randolph (H,S,I)",Democratic Party,"41 years, 364 days",n/a
47.0,999.0,"Eugene Hale (H,S,I)",Republican Party,"39 years, 363 days",n/a
48.0,41.0,Leslie C. Arends (H),Republican Party,"39 years, 362 days","39 years, 362 days"
49.0,42.0,Daniel A. Reed (H),Republican Party,"39 years, 352 days","39 years, 352 days"
50.0,43.0,"George William Norris (H,S)",Republican Party,"39 years, 305 days","39 years, 305 days"
51.0,44.0,John Taber (H),Republican Party,"39 years, 305 days","39 years, 305 days"
52.0,45.0,William M. Colmer (H),Democratic Party,"39 years, 305 days","39 years, 305 days"
53.0,999.0,"Samuel Smith (H,S,I)",Democratic Party,"39 years, 9 days",n/a
54.0,999.0,"John Little McClellan (H,S,I)",Democratic Party,"38 years, 329 days",n/a
55.0,46.0,Patrick Leahy (S),Democratic Party,"39years, 29days","39years, 29days"
56.0,47.0,"Max Baucus (H,S)",Democratic Party,"39years, 29days","39years, 29days"
57.0,48.0,"Chuck Grassley (H,S)",Republican Party,"39years, 29days","39years, 29days"
58.0,49.0,"Tom Harkin (H,S)",Democratic Party,"39years, 29days","39years, 29days"
59.0,50.0,George Miller (H),Democratic Party,"39years, 29days","39years, 29days"
60.0,51.0,Henry Waxman (H),Democratic Party,"39years, 29days","39years, 29days"
61.0,52.0,"Morris Sheppard (H,S)",Democratic Party,"38 years, 145 days","38 years, 145 days"
62.0,53.0,Ernest Hollings (S),Democratic Party,"38 years, 55 days","38 years, 55 days"
