Game,November,Opponent,Score,Record
14.0,3.0,Vancouver Canucks,6 - 3,8-5-1
15.0,6.0,@ Quebec Nordiques,4 - 2,9-5-1
16.0,8.0,Tampa Bay Lightning,6 - 3,10-5-1
17.0,10.0,Winnipeg Jets,2 - 1,11-5-1
18.0,13.0,@ Washington Capitals,2 - 0,12-5-1
19.0,14.0,San Jose Sharks,3 - 3 OT,12-5-2
20.0,16.0,@ Florida Panthers,4 - 2,13-5-2
21.0,19.0,@ Tampa Bay Lightning,5 - 3,14-5-2
22.0,23.0,Montreal Canadiens,5 - 4,15-5-2
23.0,24.0,@ Ottawa Senators,7 - 1,16-5-2
24.0,27.0,@ New York Islanders,6 - 4,16-6-2
25.0,28.0,Washington Capitals,3 - 1,17-6-2
26.0,30.0,@ New Jersey Devils,3 - 1,18-6-2
