Year,Artist,Title,Genre,Label
2001.0,Steve Coleman,Resistance Is Futile,Jazz,Label Bleu
2002.0,Aaron Parks,Shadows,Jazz,KeynoteRecords
2003.0,Vijay Iyer & Mike Ladd,In What Language?,Jazz,Pi Recordings
2006.0,Walter Smith III,Casually Introducing,Jazz,New Talent Spain
2007.0,Alan Pasqua,Anti Social Club,Jazz,Cryptogramophon
2007.0,Sara Gazarek,Return to You,Jazz,Native Language
2007.0,Josh Roseman,New Constellations: Live in Vienna (Live),Jazz,Accurate Records
2008.0,John Escreet,Consequences,Jazz,Posi-Tone
2008.0,Esperanza Spalding,Esperanza,Jazz,Heads Up
2008.0,Danny Grissett,Form,Jazz,Criss Cross Jazz
2009.0,Le Boeuf Brothers,House Without A Door,Jazz,lbjazz
2010.0,John Escreet,Don't Fight the Inevitable,Jazz,Mythology Records
2010.0,Walter Smith III,III,Jazz,Criss Cross Jazz
2010.0,David Binney,Barefooted Town,Jazz,Criss Cross Jazz
2011.0,David Binney,Graylen Epicenter,Jazz,Mythology Records
2011.0,Vince Mendoza,Nights On Earth,Jazz,Horizontal Jazz
2012.0,Jack DeJohnette,Sound Travels,Jazz,Entertainment One
2013.0,Dayna Stephens,That Nepenthentic Place,Jazz,Sunnyside
2013.0,Gerald Clayton,Life Forumn,Jazz,Concord
