Date,Opponent,Score,Decision,Attendance,Record
January 2,Columbus Blue Jackets,6 - 1,Budaj,14482.0,19-18-1
January 4,Minnesota Wild,2 - 0,Budaj,14125.0,19-19-1
January 6,@ Nashville Predators,2 - 1,Raycroft,13598.0,20-19-1
January 8,Chicago Blackhawks,2 - 1,Raycroft,15174.0,21-19-1
January 10,Pittsburgh Penguins,5 - 3,Raycroft,17908.0,22-19-1
January 13,@ Columbus Blue Jackets,4 - 3,Raycroft,15343.0,22-20-1
January 15,@ St. Louis Blues,5 - 2,Budaj,17545.0,22-21-1
January 16,Edmonton Oilers,3 - 2,Raycroft,15681.0,22-22-1
January 18,Calgary Flames,6 - 2,Budaj,16113.0,23-22-1
January 21,Los Angeles Kings,6 - 5,Raycroft,13289.0,23-23-1
January 27,San Jose Sharks,3 - 0,Raycroft,14592.0,23-24-1
January 29,Toronto Maple Leafs,7 - 4,Raycroft,15216.0,23-25-1
January 31,Anaheim Ducks,4 - 3,Budaj,17652.0,23-26-1
