Place,Team,Points,Played,Drawn,Lost,Goals For,Goals Against
1.0,Al Ittihad,35.0,22.0,5.0,1.0,45.0,13.0
2.0,Al Ahly Benghazi,34.0,22.0,4.0,3.0,51.0,12.0
3.0,Al Ahly Tripoli,30.0,22.0,4.0,5.0,49.0,23.0
4.0,Al Najma,30.0,22.0,8.0,3.0,42.0,23.0
5.0,Al Hilal,30.0,22.0,8.0,3.0,37.0,20.0
6.0,Al Shorta,23.0,22.0,7.0,7.0,35.0,23.0
7.0,Al Madina,21.0,22.0,3.0,10.0,40.0,34.0
8.0,Al Afriqi,20.0,22.0,6.0,9.0,36.0,34.0
9.0,Darnes,20.0,22.0,4.0,10.0,38.0,37.0
10.0,Al Wahda,15.0,22.0,3.0,13.0,36.0,43.0
11.0,Al Nahtha,5.0,22.0,1.0,19.0,14.0,92.0
12.0,Al Qurthabia,1.0,22.0,1.0,21.0,27.0,96.0
