Rank,Name,Nation,Points,Places
1.0,Carol Heiss,United States,1490.1,9.0
2.0,Sjoukje Dijkstra,Netherlands,1424.8,20.0
3.0,Barbara Roles,United States,1414.9,26.0
4.0,Jana Mrázková,Czechoslovakia,1338.7,53.0
5.0,Joan Haanappel,Netherlands,1331.9,52.0
6.0,Laurence Owen,United States,1343.0,57.0
7.0,Regine Heitzer,Austria,1327.9,58.0
8.0,Anna Galmarini,Italy,1295.0,79.0
9.0,Karen Frohner,Austria,1266.0,99.0
10.0,Sandra Tewkesbury,Canada,1296.1,78.0
11.0,Nicole Hassler,France,1272.6,97.0
12.0,Wendy Griner,Canada,1275.0,98.0
13.0,Danielle Rigoulot,France,1253.8,107.0
14.0,Barbara Martin,Germany,1219.8,132.0
15.0,Patricia Pauley,Great Britain,1213.8,134.0
16.0,Carla Tichatschek,Italy,1201.1,143.0
17.0,Junko Ueno,Japan,1176.5,158.0
18.0,Ursel Barkey,Germany,1164.5,166.0
19.0,Carolyn Krau,Great Britain,1160.3,168.0
20.0,Liliane Crosa,Switzerland,1157.4,171.0
21.0,Miwa Fukuhara,Japan,1134.7,188.0
22.0,Franziska Schmidt,Switzerland,1141.8,184.0
23.0,Marion Sage,South Africa,1000.9,210.0
24.0,Aileen Shaw,Australia,965.7,221.0
25.0,Patricia Eastwood,South Africa,970.8,219.0
26.0,Mary Wilson,Australia,890.2,232.0
