Year,Population (Region total),Population (Mareeba),Population (Atherton),Population (Herberton),Population (Eacham)
1933.0,19386.0,8248.0,3962.0,2852.0,4324.0
1947.0,17585.0,6312.0,4335.0,3198.0,3740.0
1954.0,20917.0,7595.0,5401.0,4150.0,3771.0
1961.0,23675.0,10212.0,5806.0,3815.0,3842.0
1966.0,23332.0,10789.0,5311.0,3634.0,3598.0
1971.0,24367.0,11676.0,5638.0,3726.0,3327.0
1976.0,25488.0,12136.0,6240.0,3679.0,3433.0
1981.0,29329.0,14003.0,7501.0,3688.0,4137.0
1986.0,33426.0,15563.0,8518.0,4210.0,5135.0
1991.0,36816.0,17129.0,9518.0,4560.0,5609.0
1996.0,39350.0,18044.0,10119.0,5113.0,6074.0
2001.0,39629.0,17961.0,10509.0,5083.0,6076.0
2006.0,40906.0,18212.0,10912.0,5423.0,6359.0
