Year,Team,Co-Drivers,Class,Laps,Pos.
1997.0,Roock Racing,Stéphane Ortelli Karl Wendlinger,GT1,8.0,DNF
1998.0,Porsche AG,Laurent Aïello Stéphane Ortelli,GT1,351.0,1st
1999.0,Toyota Motorsports Toyota Team Europe,Thierry Boutsen Ralf Kelleners,LMGTP,173.0,DNF
2000.0,Audi Sport Team Joest,Laurent Aïello Stéphane Ortelli,LMP900,367.0,2nd
2004.0,Audi Sport UK Team Veloqx,Frank Biela Pierre Kaffer,LMP1,350.0,5th
2005.0,ADT Champion Racing,Frank Biela Emanuele Pirro,LMP1,364.0,3rd
2006.0,Audi Sport Team Joest,Tom Kristensen Rinaldo Capello,LMP1,367.0,3rd
2007.0,Audi Sport North America,Tom Kristensen Rinaldo Capello,LMP1,262.0,DNF
2008.0,Audi Sport North America,Tom Kristensen Rinaldo Capello,LMP1,381.0,1st
2009.0,Audi Sport Team Joest,Tom Kristensen Rinaldo Capello,LMP1,376.0,3rd
2010.0,Audi Sport Team Joest,Tom Kristensen Rinaldo Capello,LMP1,394.0,3rd
2011.0,Audi Sport North America,Tom Kristensen Rinaldo Capello,LMP1,14.0,DNF
2012.0,Audi Sport Team Joest,Tom Kristensen Rinaldo Capello,LMP1,377.0,2nd
2013.0,Audi Sport Team Joest,Tom Kristensen Loïc Duval,LMP1,348.0,1st
