Season,Champion,Motorcycle,Wins,Team
1976.0,Reg Pridmore,BMW,2.0,Butler & Smith – BMW NA
1977.0,Reg Pridmore,Kawasaki,1.0,Racecrafters
1978.0,Reg Pridmore,Kawasaki,0.0,Vetter
1979.0,Wes Cooley,Suzuki,0.0,Yoshimura
1980.0,Wes Cooley,Suzuki,3.0,Yoshimura
1981.0,Eddie Lawson,Kawasaki,4.0,Team Muzzy
1982.0,Eddie Lawson,Kawasaki,5.0,Team Muzzy
1983.0,Wayne Rainey,Kawasaki,6.0,Team Muzzy
1984.0,Fred Merkel,Honda,10.0,American Honda
1985.0,Fred Merkel,Honda,6.0,American Honda
1986.0,Fred Merkel,Honda,2.0,American Honda
1987.0,Wayne Rainey,Honda,3.0,American Honda
1988.0,Bubba Shobert,Honda,3.0,Shobert
1989.0,Jamie James,Suzuki,1.0,Yoshimura
1990.0,Doug Chandler,Kawasaki,4.0,Team Muzzy
1991.0,Thomas Stevens,Yamaha,1.0,Vance & Hines
1992.0,Scott Russell,Kawasaki,3.0,Team Muzzy
1993.0,Doug Polen,Ducati,6.0,Fast by Ferracci
1994.0,Troy Corser,Ducati,3.0,Fast by Ferracci
1995.0,Miguel Duhamel,Honda,6.0,Commonwealth Racing
1996.0,Doug Chandler,Kawasaki,2.0,Team Muzzy
1997.0,Doug Chandler,Kawasaki,1.0,Team Muzzy
1998.0,Ben Bostrom,Honda,0.0,American Honda
1999.0,Mat Mladin,Suzuki,1.0,Yoshimura
2000.0,Mat Mladin,Suzuki,4.0,Yoshimura
2001.0,Mat Mladin,Suzuki,4.0,Yoshimura
2002.0,Nicky Hayden,Honda,9.0,American Honda
2003.0,Mat Mladin,Suzuki,10.0,Yoshimura
2004.0,Mat Mladin,Suzuki,8.0,Yoshimura
2005.0,Mat Mladin,Suzuki,11.0,Yoshimura
2006.0,Ben Spies,Suzuki,10.0,Yoshimura
2007.0,Ben Spies,Suzuki,7.0,Yoshimura
2008.0,Ben Spies,Suzuki,7.0,Yoshimura
2009.0,Mat Mladin,Suzuki,10.0,Yoshimura
2010.0,Josh Hayes,Yamaha,7.0,Graves Motorsports
2011.0,Josh Hayes,Yamaha,3.0,Graves Motorsports
2012.0,Josh Hayes,Yamaha,16.0,Graves Motorsports
2013.0,Josh Herrin,Yamaha,4.0,Graves Motorsports
