Game,Date,Opponent,Result,Eagles points,Opponents,Record,Attendance
1.0,Sept. 4,at Tampa Bay Buccaneers,Win,41.0,14.0,1–0,43502.0
2.0,Sept. 11,Cincinnati Bengals,Loss,24.0,28.0,1–1,66459.0
3.0,Sept. 18,at Washington Redskins,Loss,10.0,17.0,1–2,53920.0
4.0,Sept. 25,at Minnesota Vikings,Loss,21.0,23.0,1–3,56012.0
5.0,Oct. 2,Houston Oilers,Win,32.0,23.0,2–3,64692.0
6.0,Oct. 10,New York Giants,Win,24.0,13.0,3–3,63736.0
7.0,Oct. 16,at Cleveland Browns,Loss,3.0,19.0,3–4,78787.0
8.0,Oct. 23,Dallas Cowboys,Win,24.0,23.0,4–4,66309.0
9.0,Oct. 30,Atlanta Falcons,Loss,24.0,27.0,4–5,60091.0
10.0,Nov. 6,Los Angeles Rams,Win,30.0,24.0,5–5,65624.0
11.0,Nov. 13,at Pittsburgh Steelers,Win,27.0,26.0,6–5,46026.0
12.0,Nov. 20,at New York Giants,Win (OT),23.0,17.0,7–5,43621.0
13.0,Nov. 27,Phoenix Cardinals,Win,31.0,21.0,8–5,57918.0
14.0,Dec. 4,Washington Redskins,Loss,19.0,20.0,8–6,65947.0
15.0,Dec. 10,at Phoenix Cardinals,Win,23.0,17.0,9–6,54832.0
