Rank,Athlete,Nation,Olympics,Gold,Silver,Bronze,Total(min. 2 medals)
1.0,Bob Mathias Category:Articles with hCards,United States (USA),1948–1952,2.0,0.0,0.0,2.0
1.0,Daley Thompson Category:Articles with hCards,Great Britain (GBR),1980–1984,2.0,0.0,0.0,2.0
3.0,Milt Campbell Category:Articles with hCards,United States (USA),1952–1956,1.0,1.0,0.0,2.0
3.0,Rafer Johnson Category:Articles with hCards,United States (USA),1956–1960,1.0,1.0,0.0,2.0
3.0,Roman Šebrle Category:Articles with hCards,Czech Republic (CZE),2000–2004,1.0,1.0,0.0,2.0
3.0,Bryan Clay Category:Articles with hCards,United States (USA),2004–2008,1.0,1.0,0.0,2.0
7.0,Mykola Avilov Category:Articles with hCards,Soviet Union (URS),1972–1976,1.0,0.0,1.0,2.0
8.0,Akilles Järvinen Category:Articles with hCards,Finland (FIN),1928–1932,0.0,2.0,0.0,2.0
9.0,Hans-Joachim Walde Category:Articles with hCards,West Germany (FRG),1964–1968,0.0,1.0,1.0,2.0
10.0,Floyd Simmons Category:Articles with hCards,United States (USA),1948–1952,0.0,0.0,2.0,2.0
10.0,Vasili Kuznetsov Category:Articles with hCards,Soviet Union (URS),1956–1960,0.0,0.0,2.0,2.0
