Stadium,Capacity,City,State,Home team,Opened
Signal Iduna Park,80720.0,Dortmund,North Rhine-Westphalia,Borussia Dortmund,1974.0
Olympiastadion Berlin,77166.0,Berlin,Berlin,Hertha BSC,1936.0
Allianz Arena,71901.0,Munich,Bavaria,"FC Bayern Munich , TSV 1860 München",2005.0
Olympiastadion München,69267.0,Munich,Bavaria,—,1972.0
Veltins-Arena,61673.0,Gelsenkirchen,North Rhine-Westphalia,FC Schalke 04,2001.0
Mercedes-Benz Arena,60469.0,Stuttgart,Baden-Württemberg,VfB Stuttgart,1933.0
Imtech Arena,57030.0,Hamburg,Hamburg,Hamburger SV,1953.0
Esprit Arena,54600.0,Düsseldorf,North Rhine-Westphalia,Fortuna Düsseldorf,2005.0
Stadion im Borussia-Park,54067.0,Mönchengladbach,North Rhine-Westphalia,Borussia Mönchengladbach,2004.0
Commerzbank-Arena,52300.0,Frankfurt,Hesse,Eintracht Frankfurt,1925.0
RheinEnergieStadion,50374.0,Cologne,North Rhine-Westphalia,1. FC Köln,1923.0
Frankenstadion,50000.0,Nuremberg,Bavaria,1. FC Nürnberg,1928.0
Fritz-Walter-Stadion,49780.0,Kaiserslautern,Rhineland-Palatinate,1. FC Kaiserslautern,1920.0
AWD-Arena,49000.0,Hannover,Lower Saxony,Hannover 96,1954.0
Red Bull Arena,44345.0,Leipzig,Saxony,RB Leipzig,1954.0
Weserstadion,42358.0,Bremen,Bremen,SV Werder Bremen,1947.0
Ludwigsparkstadion,35303.0,Saarbrücken,Saarland,1. FC Saarbrücken,1953.0
Grotenburg Stadion,34500.0,Krefeld,North Rhine-Westphalia,KFC Uerdingen 05,1927.0
Coface Arena,34034.0,Mainz,Rhineland-Palatinate,1. FSV Mainz 05,2011.0
New Tivoli,32960.0,Aachen,North Rhine-Westphalia,Alemannia Aachen,2009.0
Rudolf-Harbig-Stadion,32066.0,Dresden,Saxony,Dynamo Dresden,1923.0
MSV Arena,31500.0,Duisburg,North Rhine-Westphalia,MSV Duisburg,2004.0
Impuls Arena,30660.0,Augsburg,Bavaria,FC Augsburg,2009.0
BayArena,30210.0,Leverkusen,North Rhine-Westphalia,Bayer 04 Leverkusen,1958.0
Rhein-Neckar-Arena,30164.0,Sinsheim,Baden-Württemberg,TSG 1899 Hoffenheim,2009.0
Volkswagen Arena,30000.0,Wolfsburg,Lower Saxony,VfL Wolfsburg,2002.0
Wildparkstadion,29699.0,Karlsruhe,Baden-Württemberg,Karlsruher SC,1923.0
Ruhrstadion,29448.0,Bochum,North Rhine-Westphalia,VfL Bochum,1979.0
Millerntor-Stadion,29063.0,Hamburg,Hamburg,FC St.Pauli,1963.0
DKB-Arena,29000.0,Rostock,Mecklenburg-Vorpommern,F.C. Hansa Rostock,1954.0
Stadion am Zoo,28300.0,Wuppertal,North Rhine-Westphalia,Wuppertaler SV,1924.0
SchücoArena,27300.0,Bielefeld,North Rhine-Westphalia,Arminia Bielefeld,1926.0
MDCC-Arena,27250.0,Magdeburg,Saxony-Anhalt,1. FC Magdeburg,2006.0
Carl-Benz-Stadion,26022.0,Mannheim,Baden-Württemberg,SV Waldhof Mannheim,1994.0
Eintracht-Stadion,25540.0,Braunschweig,Lower Saxony,Eintracht Braunschweig,1923.0
Dreisamstadion,25036.0,Freiburg im Breisgau,Baden-Württemberg,SC Freiburg,1953.0
