Round,Overall,Player,Position,School/Club Team
1.0,3.0,Chip Banks,Linebacker,USC
2.0,31.0,Keith Baldwin,Defensive End,Texas A&M
4.0,87.0,Dwight Walker,Running Back,Nicholls State
5.0,115.0,Mike Baab,Center,Texas
6.0,162.0,Mike Whitwell,Defensive Back,Texas A&M
8.0,199.0,Mark Kafentzis,Defensive Back,Hawaii
8.0,204.0,Van Heflin,Tight End,Vanderbilt
8.0,211.0,Bill Jackson,Defensive Back,North Carolina
9.0,227.0,Milton Baker,Tight End,West Texas A&M
10.0,255.0,Ricky Floyd,Running Back,Southern Miss
11.0,282.0,Steve Michuta,Quarterback,Grand Valley State
12.0,310.0,Scott Nicolas,Linebacker,Miami
