Player,Club,League,FA Cup,FA Trophy,League Cup,Total
Steve Norris,Telford United,24.0,0.0,6.0,5.0,35.0
Phil Derbyshire,Stafford Rangers,24.0,3.0,3.0,2.0,32.0
Paul Davies,Kidderminster Harriers,24.0,2.0,1.0,0.0,27.0
Steve Butler,Maidstone United,22.0,3.0,4.0,0.0,29.0
Mark Carter,Runcorn,22.0,1.0,2.0,0.0,25.0
Nicky Evans,Barnet,22.0,7.0,0.0,1.0,30.0
Nicky Francis,Enfield,21.0,1.0,4.0,3.0,29.0
Steve Burr,Macclesfield Town,19.0,9.0,4.0,0.0,32.0
Lenny Dennis,Sutton United,19.0,4.0,0.0,2.0,25.0
Dave Sansom,Barnet,19.0,3.0,2.0,3.0,27.0
Kim Casey,Kidderminster Harriers,17.0,2.0,2.0,0.0,21.0
Phil Brown,Lincoln City,16.0,1.0,2.0,1.0,20.0
Mark Smith,Kettering Town,16.0,0.0,2.0,1.0,19.0
Paul Wilson,Boston United,16.0,2.0,3.0,0.0,21.0
Brett Angell,Cheltenham Town,16.0,5.0,1.0,0.0,22.0
Steve Biggins,Telford United,15.0,1.0,3.0,1.0,20.0
John McGinley,Lincoln City,15.0,3.0,0.0,2.0,20.0
Paul McKinnon,Sutton United,15.0,2.0,0.0,2.0,19.0
