Pick #,MLS Team,Player,Position,Affiliation
49.0,Philadelphia Union,Brian Perk,Goalkeeper,UCLA Seattle Wolves
51.0,Chicago Fire,* Sean Johnson,Goalkeeper,University of Central Florida Atlanta Blackhawks
52.0,Kansas City Wizards,Ofori Sarkodie,Defender,Indiana University
53.0,Toronto FC,Joseph Nane,Midfielder,Old Dominion University Hampton Roads Piranhas
54.0,FC Dallas,Dane Saintus,Midfielder,Southern Methodist University DFW Tornados
55.0,D.C. United,Jordan Graye,Defender,University of North Carolina Cary Clarets
56.0,Colorado Rapids,Chris Cutshaw,Midfielder,Bradley University Chicago Fire Premier
57.0,New England Revolution,Adam Welch,Defender,Lehigh University Reading Rage
58.0,Chivas USA,Chris Ross,Midfielder,Colgate University DFW Tornados
59.0,Seattle Sounders FC,Jamel Wallace,Midfielder,San Diego State University
60.0,Columbus Crew,Kwaku Nyamekye,Defender,Harvard University
61.0,Columbus Crew,Othaniel Yanez,Midfielder,University of Louisville Yakima Reds
62.0,Houston Dynamo,Euan Holden,Defender,University of New Mexico Austin Aztex U23
63.0,Columbus Crew,Shaun Francis,Defender,Lindsey Wilson College Thunder Bay Chill
