University Name,Acronym,Date founded,Website,Official registration notes
Université Sainte Famille,USF,2000.0,usf.edu.lb,Yes
American University of Culture & Education,AUCE,2000.0,auce.edu.lb,Yes
American University of Beirut,AUB,1866.0,aub.edu.lb,Yes
Lebanese University,UL,1951.0,ul.edu.lb,Yes
Université Saint-Joseph,USJ,1875.0,usj.edu.lb,Yes
University of Balamand,UoB,1988.0,balamand.edu.lb,Yes
Université La Sagesse,ULS,1875.0,uls.edu.lb,Yes
Haigazian University,HU,1955.0,haigazian.edu.lb,Yes
American University of Technology,AUT,1998.0,aut.edu,Yes
Beirut Arab University,BAU,1960.0,bau.edu.lb,Yes
Université Saint-Esprit de Kaslik,USEK,1961.0,usek.edu.lb,Yes
Notre Dame University - Louaize,NDU,1987.0,ndu.edu.lb,Yes
Académie Libanaise des Beaux-Arts 1,ALBA1,1937.0,alba.edu,Yes1
Arab Open University,AOU,2002.0,aou.edu.lb,Yes
American University of Science and Technology,AUST,1994.0,aust.edu.lb,Yes
Antonine University,UPA,1996.0,upa.edu.lb,Yes
Lebanese German University,LGU,2008.0,lgu.edu.lb,Yes
Lebanese International University,LIU,2001.0,liu.edu.lb,Yes
Hariri Canadian University,HCU,2006.0,hcu.edu.lb,Yes
Lebanese Canadian University,LCU,2003.0,lcu.edu.lb,Yes
Beirut Islamic University,BIU,1982.0,biu.edu.lb,Yes
Global University,GU,1992.0,gu.edu.lb,Yes
Islamic University of Lebanon,IUL,1996.0,iul.edu.lb,Yes
Al-Kafaàt University,AKU,1999.0,aku.edu.lb,Yes
Jinan University of Lebanon,JUL,1988.0,jinan.edu.lb,Yes
Manar University of Tripoli,MUT,1990.0,mut.edu.lb,Yes
Lebanese American University,LAU,1924.0,lau.edu.lb,Yes
Modern University for Business and Science,MUBS,2000.0,mubs.edu.lb,Yes
Makassed University of Beirut,MU,1986.0,almakassed.edu.lb,Yes
Middle East University,MEU,1939.0,meu.edu.lb,Yes
University Of Tripoli,UT,1986.0,ut.edu.lb,Yes
