Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Real Sociedad,30.0,46.0,21.0,4.0,5.0,46.0,22.0,24.0
2.0,Real Gijón,30.0,45.0,19.0,7.0,4.0,55.0,22.0,33.0
3.0,RC Celta,30.0,36.0,14.0,8.0,8.0,43.0,25.0,18.0
4.0,CA Osasuna,30.0,35.0,13.0,9.0,8.0,52.0,39.0,13.0
5.0,Real Oviedo,30.0,35.0,15.0,5.0,10.0,57.0,38.0,19.0
6.0,Rayo Vallecano,30.0,30.0,13.0,4.0,13.0,45.0,31.0,14.0
7.0,Club Ferrol,30.0,30.0,13.0,4.0,13.0,41.0,30.0,11.0
8.0,CF Calvo Sotelo,30.0,30.0,10.0,10.0,10.0,38.0,38.0,0.0
9.0,Real Valladolid,30.0,29.0,11.0,7.0,12.0,38.0,43.0,-5.0
10.0,Gimnástica Torrelavega,30.0,28.0,12.0,4.0,14.0,33.0,53.0,-20.0
11.0,CD Tenerife,30.0,28.0,11.0,6.0,13.0,40.0,47.0,-7.0
12.0,Real Santander,30.0,26.0,12.0,6.0,16.0,42.0,53.0,-11.0
13.0,UP Langreo,30.0,25.0,9.0,7.0,14.0,32.0,42.0,-10.0
14.0,Burgos CF,30.0,23.0,7.0,9.0,14.0,40.0,49.0,-9.0
15.0,CD Logroñés,30.0,18.0,5.0,8.0,17.0,16.0,47.0,-31.0
16.0,SD Indauchu,30.0,16.0,5.0,6.0,19.0,17.0,56.0,-39.0
