Position,Name,Height (cm),Weight (kg),Birthdate,Birthplace,Previous Club/Team
G,Blane Comstock,178.0,73.0,3 November 1949,"Roseau, Minnesota",Warroad Lakers
G,Jim Warden,191.0,86.0,22 June 1954,"Detroit, Michigan",Salt Lake Golden Eagles ( CHL )
D,Robert Harris,183.0,82.0,"December 4, 1953","Omaha, Nebraska",University of Minnesota
D,Jeff Hymanson,188.0,189.0,11 March 1954,"Anoka, Minnesota",Albuquerque Chaparrals (SWHL)
D,Paul Jensen,180.0,82.0,1 May 1955,"Minneapolis, Minnesota",Michigan Tech
D,Dick Lamby,185.0,91.0,3 May 1955,"Worcester, Massachusetts",Salem State College
D,Gary Ross,183.0,91.0,8 December 1953,"Roseau, Minnesota",Bemidji State University
D,John Taft,188.0,88.0,8 March 1954,"Minneapolis, Minnesota",University of Wisconsin
F,Steve Alley,188.0,84.0,20 December 1953,"Minneapolis, Minnesota",University of Wisconsin
F,Dan Bolduc,175.0,86.0,6 April 1953,"Waterville, Maine",New England Whalers ( WHA )
F,Bob Dobek,183.0,84.0,4 October 1952,"Detroit, Michigan",Bowling Green State University
F,Steve Jensen,188.0,86.0,14 April 1955,"Minneapolis, Minnesota",Michigan Tech
F,Bob Lundeen,180.0,84.0,4 November 1952,"Minneapolis, Minnesota",University of Wisconsin
F,Bob Miller,178.0,80.0,28 September 1956,"Medford, Massachusetts",University of New Hampshire
F,Doug Ross,175.0,77.0,9 October 1951,"Detroit, Michigan",Bowling Green State University
F,Buzz Schneider,180.0,82.0,14 September 1954,"Babbitt, Minnesota",University of Minnesota
F,Stephen Sertich,170.0,71.0,20 October 1952,"Virginia, Minnesota",EV Füssen ( 1.GBun )
F,Teddy Thorndike,183.0,84.0,8 September 1952,"Boston, Massachusetts",Harvard University
