Week,Date,Opponent,Result,Game site,Record,Attendance
1.0,September 17,Houston Oilers,W 30–17,Mile High Stadium,1–0,51656.0
2.0,September 24,at San Diego Chargers,L 14–37,San Diego Stadium,1–1,49048.0
3.0,October 1,Kansas City Chiefs,L 24–45,Mile High Stadium,1–2,51656.0
4.0,October 8,at Cincinnati Bengals,L 10–21,Riverfront Stadium,1–3,55812.0
5.0,October 15,Minnesota Vikings,L 20–23,Mile High Stadium,1–4,51656.0
6.0,October 22,at Oakland Raiders,W 30–23,Oakland-Alameda County Coliseum,2–4,53551.0
7.0,October 29,Cleveland Browns,L 20–27,Mile High Stadium,2–5,51656.0
8.0,November 5,at New York Giants,L 17–29,Yankee Stadium,2–6,62689.0
9.0,November 12,at Los Angeles Rams,W 16–10,Los Angeles Memorial Coliseum,3–6,65398.0
10.0,November 19,Oakland Raiders,L 20–37,Mile High Stadium,3–7,51656.0
11.0,November 26,at Atlanta Falcons,L 20–23,Atlanta-Fulton County Stadium,3–8,58850.0
12.0,December 3,at Kansas City Chiefs,L 21–24,Arrowhead Stadium,3–9,66725.0
13.0,December 10,San Diego Chargers,W 38–13,Mile High Stadium,4–9,51478.0
