Round,Player,Position,Nationality,College/Junior/Club Team
1.0,Milan Michalek,Left Wing,Czechoslovakia,Ceske Budejovice HC (Czech)
1.0,Steve Bernier,Right Wing,Canada,Moncton Wildcats (QMJHL)
2.0,Josh Hennessy,Center,United States,Quebec Remparts (QMJHL)
2.0,Matt Carle,Defense,United States,River City Lancers (USHL)
5.0,Patrick Ehelechner,Goaltender,Germany,Hannover Scorpions (DEL)
7.0,Jonathan Tremblay,Right Wing,Canada,Acadie-Bathurst Titan (QMJHL)
7.0,Joe Pavelski,Center,United States,Waterloo Black Hawks (USHL)
7.0,Kai Hospelt,Forward,Germany,Cologne Sharks (DEL)
8.0,Alexander Hult,Center,Sweden,Oskarshamn IK (Swe-1)
9.0,Brian O'Hanley,Defense,United States,Boston College High School (USHS)
9.0,Carter Lee,Forward,United States,Canterbury (USHS)
