Rank,Nation,Gold,Silver,Bronze,Total
1.0,Japan,4.0,3.0,3.0,10.0
2.0,South Korea,3.0,0.0,2.0,5.0
3.0,Poland,2.0,0.0,0.0,2.0
4.0,Germany,1.0,1.0,4.0,6.0
5.0,China,1.0,1.0,2.0,4.0
5.0,Great Britain,1.0,1.0,2.0,4.0
7.0,Hungary,1.0,1.0,0.0,2.0
8.0,Cuba,1.0,0.0,3.0,4.0
8.0,France,1.0,0.0,3.0,4.0
10.0,Belgium,1.0,0.0,0.0,1.0
11.0,Georgia,0.0,1.0,2.0,3.0
11.0,Netherlands,0.0,1.0,2.0,3.0
13.0,Brazil,0.0,1.0,1.0,2.0
13.0,Spain,0.0,1.0,1.0,2.0
13.0,United States,0.0,1.0,1.0,2.0
16.0,Azerbaijan,0.0,1.0,0.0,1.0
16.0,Canada,0.0,1.0,0.0,1.0
16.0,Israel,0.0,1.0,0.0,1.0
16.0,Switzerland,0.0,1.0,0.0,1.0
20.0,Russia,0.0,0.0,4.0,4.0
21.0,Romania,0.0,0.0,1.0,1.0
21.0,Italy,0.0,0.0,1.0,1.0
