Position,Nationality,Name,League apps,League goals,FA Cup apps,FA Cup goals,Total apps,Total goals
FW,Scotland,Jack Angus Category:Articles with hCards,13.0,6.0,4.0,4.0,17.0,10.0
FB,England,Charles Baker Category:Articles with hCards,15.0,6.0,4.0,6.0,19.0,12.0
GK,England,Jack Barrett Category:Articles with hCards,4.0,0.0,1.0,0.0,5.0,0.0
GK,England,Walter Cox Category:Articles with hCards,0.0,0.0,2.0,0.0,2.0,0.0
FW,England,Jack Dorkin Category:Articles with hCards,3.0,3.0,1.0,1.0,4.0,4.0
HB,England,Bill Furby Category:Articles with hCards,5.0,0.0,2.0,0.0,7.0,0.0
FB,Wales,David Hamer Category:Articles with hCards,3.0,0.0,3.0,0.0,6.0,0.0
FW,England,Fred Hollands Category:Articles with hCards,15.0,3.0,5.0,2.0,20.0,5.0
FB,England,William Jeffrey Category:Articles with hCards,13.0,0.0,2.0,0.0,15.0,0.0
HB,England,Alf Littlehales Category:Articles with hCards,16.0,0.0,5.0,1.0,21.0,1.0
FB,England,George Marshall Category:Articles with hCards,14.0,0.0,5.0,0.0,19.0,0.0
FW,England,Arthur Nineham Category:Articles with hCards,7.0,4.0,2.0,5.0,9.0,9.0
FW,England,Harry Offer Category:Articles with hCards,13.0,4.0,5.0,6.0,18.0,10.0
FW,England,Joe Rogers Category:Articles with hCards,7.0,1.0,0.0,0.0,7.0,1.0
HB,England,Ernie Taylor Category:Articles with hCards,11.0,0.0,3.0,1.0,14.0,1.0
HB,England,Lachie Thomson Category:Articles with hCards,15.0,1.0,5.0,1.0,20.0,2.0
FW,England,A. Ward Category:Articles with hCards,1.0,0.0,0.0,0.0,1.0,0.0
FW,England,Herbert Ward Category:Articles with hCards,9.0,6.0,4.0,5.0,13.0,11.0
