Week,Date,Opponent,Result,Attendance
1.0,"September 16, 1962",Pittsburgh Steelers,W 45-7,46641.0
2.0,"September 23, 1962",San Francisco 49ers,W 45-24,51032.0
3.0,"September 30, 1962",at Baltimore Colts,W 29-20,57966.0
4.0,"October 7, 1962",at Green Bay Packers,L 9-7,38669.0
5.0,"October 14, 1962",Los Angeles Rams,W 13-10,53714.0
6.0,"October 21, 1962",at New York Giants,L 17-14,62856.0
7.0,"October 28, 1962",Chicago Bears,W 11-3,53342.0
8.0,"November 4, 1962",at Los Angeles Rams,W 12-3,44241.0
9.0,"November 11, 1962",at San Francisco 49ers,W 38-24,43449.0
10.0,"November 18, 1962",at Minnesota Vikings,W 17-6,31257.0
11.0,"November 22, 1962",Green Bay Packers,W 26-14,57598.0
12.0,"December 2, 1962",Baltimore Colts,W 21-14,53012.0
13.0,"December 9, 1962",Minnesota Vikings,W 37-23,42256.0
14.0,"December 16, 1962",at Chicago Bears,L 3-0,44948.0
