Driver,Constructor,Q1 order,Q1 time,Q1 pos,Q1+Q2 time
Kimi Räikkönen,McLaren - Mercedes,4.0,1:14.819,3.0,2:31.421
Mark Webber,Williams - BMW,13.0,1:15.042,6.0,2:31.668
Fernando Alonso,Renault,18.0,1:14.811,2.0,2:31.691
Ralf Schumacher,Toyota,11.0,1:14.870,4.0,2:31.917
Jarno Trulli,Toyota,15.0,1:14.795,1.0,2:31.995
Giancarlo Fisichella,Renault,2.0,1:15.601,8.0,2:32.830
Juan Pablo Montoya,McLaren - Mercedes,1.0,1:15.902,12.0,2:33.472
Michael Schumacher,Ferrari,17.0,1:15.398,7.0,2:33.551
David Coulthard,Red Bull - Cosworth,9.0,1:15.795,10.0,2:34.168
Felipe Massa,Sauber - Petronas,10.0,1:15.863,11.0,2:34.224
Vitantonio Liuzzi,Red Bull - Cosworth,12.0,1:16.288,13.0,2:35.302
Jacques Villeneuve,Sauber - Petronas,16.0,1:16.794,14.0,2:36.480
Narain Karthikeyan,Jordan - Toyota,8.0,1:18.557,15.0,2:39.268
Tiago Monteiro,Jordan - Toyota,7.0,1:19.040,16.0,2:39.943
Christijan Albers,Minardi - Cosworth,6.0,1:19.563,17.0,2:41.141
Patrick Friesacher,Minardi - Cosworth,3.0,1:20.306,18.0,2:42.759
Nick Heidfeld,Williams - BMW,14.0,1:15.038,5.0,none
Rubens Barrichello,Ferrari,5.0,1:15.746,9.0,none
