Date,Visitor,Score,Home,Record,Attendance
September 27,Philadelphia Eagles,31-21,San Francisco 49ers,1-0-0,25000.0
October 4,Los Angeles Rams,31-30,San Francisco 49ers,2-0-0,41446.0
October 11,San Francisco 49ers,24-21,Detroit Lions,2-1-0,56080.0
October 18,San Francisco 49ers,35-28,Chicago Bears,3-1-0,36909.0
October 25,Detroit Lions,14-10,San Francisco 49ers,3-2-0,52300.0
November 1,Chicago Bears,24-14,San Francisco 49ers,4-2-0,26308.0
November 8,San Francisco 49ers,31-27,Los Angeles Rams,5-2-0,85856.0
November 15,San Francisco 49ers,23-21,Cleveland Browns,5-3-0,80698.0
November 22,San Francisco 49ers,37-7,Green Bay Packers,6-3-0,16378.0
November 29,San Francisco 49ers,38-21,Baltimore Colts,7-3-0,26005.0
December 6,Green Bay Packers,48-14,San Francisco 49ers,8-3-0,31337.0
December 13,Baltimore Colts,45-14,San Francisco 49ers,9-3-0,23932.0
