Total #,Episode #,Title,Directed by,Written by,Original air date
27.0,1.0,"""Fuck City Hall""",Scott Smith,Sheri Elwood,"September23,2012"
28.0,2.0,"""Thirty Percent Less Pulp Fiction""",Scott Smith,Dennis Heaton,"September23,2012"
29.0,3.0,"""The Virgin Homo-Cide""",James Allodi,Matt MacLennan,"September30,2012"
30.0,4.0,"""The Rise and Fall of Ethnic Man""",James Allodi,Derek Schreyer,"October7,2012"
31.0,5.0,"""Fuck the Vote""",Shawn Thompson,Sheri Elwood & Nikolijne Troubetzkoy,"October14,2012"
32.0,6.0,"""Semen-Gate""",Jason Priestley,Jeff Detsky,"October21,2012"
34.0,8.0,"""Are You There God? I Need to Speak to Frank""",Jason Priestley,Sheri Elwood,"November4,2012"
35.0,9.0,"""Teetotal Recall""",Scott Smith,Jeff Detsky & Matt MacLennan,"November11,2012"
36.0,10.0,"""Apoca' Smokes Now""",Scott Smith,Dennis Heaton,"November18,2012"
37.0,11.0,"""And Baby Makes... Fuck! Part 1""",Sheri Elwood,Sheri Elwood & Matt MacLennan,"November25,2012"
