Player,PL Apps,PL G,CL Apps,CL G,FAC / LC Apps,FAC / LC G,Total Apps,Total G,FA YC,UEFA YC
Gerrard,31.0,16.0,10.0,7.0,3.0,1.0,44.0,24.0,5.0,1.0
Torres,24.0,14.0,9.0,2.0,5.0,1.0,38.0,17.0,2.0,1.0
Kuyt,38.0,12.0,11.0,3.0,2.0,0.0,51.0,15.0,0.0,0.0
Benayoun,32.0,8.0,9.0,1.0,1.0,0.0,42.0,9.0,0.0,1.0
Keane,19.0,5.0,7.0,2.0,2.0,0.0,28.0,7.0,2.0,0.0
Riera,28.0,3.0,9.0,1.0,3.0,1.0,40.0,5.0,1.0,3.0
Alonso,33.0,3.0,10.0,1.0,4.0,0.0,47.0,4.0,7.0,1.0
Babel,27.0,3.0,10.0,1.0,5.0,0.0,42.0,4.0,3.0,0.0
Aurélio,24.0,2.0,8.0,1.0,1.0,0.0,33.0,3.0,0.0,2.0
N'Gog,14.0,2.0,3.0,1.0,2.0,0.0,19.0,3.0,1.0,0.0
Dossena,16.0,1.0,7.0,1.0,3.0,0.0,26.0,2.0,2.0,2.0
Agger,18.0,1.0,5.0,0.0,3.0,1.0,26.0,2.0,4.0,2.0
Hyypiä,16.0,1.0,0.0,0.0,3.0,1.0,19.0,2.0,1.0,0.0
Lucas,25.0,1.0,10.0,1.0,4.0,1.0,39.0,3.0,4.0,1.0
Arbeloa,29.0,1.0,12.0,0.0,2.0,0.0,43.0,1.0,8.0,3.0
Plessis,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0
Carragher,38.0,0.0,12.0,0.0,4.0,0.0,54.0,0.0,5.0,0.0
Mascherano,27.0,0.0,8.0,0.0,3.0,0.0,38.0,0.0,6.0,3.0
Škrtel,21.0,0.0,7.0,0.0,2.0,0.0,30.0,0.0,4.0,1.0
El Zhar,15.0,0.0,2.0,0.0,2.0,0.0,19.0,0.0,3.0,0.0
Insúa,10.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0
Pennant,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
Spearing,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Darby,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
Degen,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Kelly,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Voronin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
