Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Baden,Ward,35.0,34.753,0.94,48.588295,-102.048091,3810104140.0,1759673.0
Badger,LaMoure,52.0,35.789,0.305,46.31918,-98.463236,3804504180.0,1036889.0
Baer,Hettinger,26.0,32.258,0.085,46.241797,-102.054774,3804104220.0,1037238.0
Baker,Kidder,39.0,39.296,0.639,46.683058,-100.008913,3804304300.0,1759467.0
Baldwin,Barnes,33.0,35.48,0.776,47.200318,-97.892007,3800304340.0,1036436.0
Bale,Ransom,83.0,35.995,0.02,46.318753,-97.710796,3807304420.0,1036862.0
Balfour,McHenry,38.0,35.017,0.67,47.965278,-100.510672,3804904500.0,2397769.0
Ball Hill,Griggs,55.0,36.494,0.0,47.370002,-98.178896,3803904540.0,1036633.0
Balta,Pierce,20.0,33.954,1.729,48.145945,-100.030308,3806904620.0,2397770.0
Banner,Cavalier,29.0,29.072,0.829,48.580184,-98.785942,3801904660.0,1759350.0
Banner,Mountrail,34.0,35.789,0.032,47.883851,-102.054248,3806104700.0,1037017.0
Bantry,McHenry,36.0,35.7,0.086,48.509058,-100.592261,3804904780.0,2397771.0
Barnes,Cass,25.0,0.966,0.026,46.868649,-96.923421,3801704900.0,1036359.0
Barney,Richland,134.0,35.382,0.0,46.239252,-96.947979,3807704980.0,1036831.0
Barr Butte,Williams,11.0,35.684,0.127,48.583109,-103.852639,3810505020.0,1036922.0
Barrie,Richland,191.0,35.18,0.004,46.586143,-97.103449,3807705060.0,1036855.0
Bartlett,Ramsey,71.0,34.693,1.305,48.06499,-98.486913,3807105140.0,1759565.0
Bartley,Griggs,25.0,34.319,0.559,47.282086,-98.278087,3803905180.0,1036635.0
Bathgate,Pembina,72.0,26.515,0.0,48.858375,-97.49101,3806705300.0,1036727.0
Battleview,Burke,80.0,35.585,0.29,48.595501,-102.82447,3801305380.0,1037111.0
Beach,Golden Valley,157.0,104.911,0.097,46.892458,-103.954824,3803305460.0,1037079.0
Bear Creek,Dickey,183.0,30.007,0.105,46.156543,-98.054236,3802105500.0,1036764.0
Beaulieu,Pembina,155.0,35.955,0.081,48.754743,-97.893444,3806705580.0,1036733.0
Beaver,Benson,25.0,32.926,2.865,48.239213,-99.520142,3800505620.0,1759237.0
Beaver Creek,Steele,77.0,34.703,0.921,47.623288,-97.654565,3809105660.0,1036672.0
Beery,Hettinger,30.0,35.256,0.201,46.413697,-102.226445,3804105680.0,1759446.0
Beisigl,Adams,22.0,36.043,0.012,46.159684,-102.098148,3800105700.0,1759233.0
Belford,Richland,122.0,35.679,0.0,46.152958,-96.948315,3807705860.0,1036830.0
Bell,Cass,36.0,35.914,0.0,47.195265,-97.133704,3801705900.0,1036395.0
Belmont,Traill,76.0,25.009,0.0,47.622701,-96.91585,3809705940.0,1036699.0
Bentinck,Bottineau,25.0,35.708,0.248,48.85049,-101.168188,3800906020.0,1759266.0
