Draw,Artist,Song,Jury,Televoting,Points,Place
1.0,A-Sortie,"""Colours of My Love""",17.0,16.0,33.0,11.0
2.0,Polina Smolova,"""Na rasstoyanii dykhanya""",12.0,12.0,24.0,16.0
3.0,Asılyar,"""Qarlığaçlar""",1.0,1.0,2.0,27.0
4.0,Zhenya Otradnaya,"""Porque amor""",25.0,25.0,50.0,3.0
5.0,Aero,"""Siberia""",3.0,4.0,7.0,24.0
6.0,Anna Mushak & project William,"""The Needle""",22.0,19.0,41.0,7.0
7.0,Nora Adam,"""Gotta Let It Go""",2.0,2.0,4.0,26.0
8.0,Natalia Terekhova,"""So Can You Tell Me""",6.0,6.0,12.0,22.0
9.0,Zhenya Rasskazova,"""Otpuskayu tebya""",19.0,21.0,40.0,8.0
10.0,Dima Bilan,""" Believe """,27.0,27.0,54.0,1.0
11.0,Helena Gorskaya,"""Always All Alone""",14.0,13.0,27.0,14.0
12.0,Aleksandr Panayotov,"""Crescent and Cross""",26.0,26.0,52.0,2.0
13.0,Pierre Narciss & Jam Sheriff,"""Who Am I Without Your Love""",8.0,8.0,16.0,20.0
14.0,Julia Mikhalchik,"""Cold Fingers""",21.0,22.0,43.0,6.0
15.0,Granat,"""Another Side of Midnight""",11.0,10.0,21.0,18.0
16.0,Sabrina,"""Wreck""",10.0,9.0,19.0,19.0
17.0,BK!,"""Don't Break My Heart""",5.0,5.0,10.0,23.0
18.0,Aza Batayeva,"""It's No Dream""",7.0,7.0,14.0,21.0
19.0,Tamila Bloggy,"""Sny""",18.0,20.0,38.0,9.0
20.0,Premyer-Ministr,"""My - parallelniye miry""",20.0,18.0,38.0,9.0
21.0,Anatoly Alyoshin,"""One More Try""",13.0,11.0,24.0,16.0
22.0,Alexey Vorobyov,"""New Russian Kalinka""",23.0,23.0,46.0,5.0
23.0,Roman Bezhin,"""I'm Missing""",4.0,3.0,7.0,24.0
24.0,Sergey Lazarev,"""Flyer""",24.0,24.0,48.0,4.0
25.0,Natalia Astafyeva,"""Tri Luny""",15.0,14.0,29.0,13.0
26.0,Max Lorens & Satsura,"""Day nam dozhd'""",9.0,17.0,26.0,15.0
27.0,Olga Varvus,"""King of Seduction""",16.0,15.0,31.0,12.0
