Order,Name,Seasons,Games,Goals
1.0,Peter Burns Category:Articles with hCards,1897 – 1902,89.0,7.0
2.0,Jack Conway Category:Articles with hCards,1897 – 1899,51.0,0.0
3.0,Teddy Holligan Category:Articles with hCards,"1897 – 1901 , 1903",84.0,29.0
4.0,Eddy James Category:Articles with hCards,1897 – 1900,46.0,85.0
5.0,Paddy Leahy Category:Articles with hCards,1897 – 1900,17.0,0.0
6.0,John Lucas Category:Articles with hCards,1897,1.0,0.0
7.0,Tom Maguire Category:Articles with hCards,1897 – 1898,13.0,0.0
8.0,Firth McCallum Category:Articles with hCards,"1897 – 1903 , 1905",74.0,25.0
9.0,Bill McKay Category:Articles with hCards,1897,2.0,0.0
10.0,Henry McShane Category:Articles with hCards,1897 – 1898,31.0,1.0
11.0,Jim McShane Category:Articles with hCards,1897 – 1901,82.0,53.0
12.0,Joe McShane Category:Articles with hCards,1897 – 1901,75.0,30.0
13.0,Tom Mullins Category:Articles with hCards,1897,1.0,0.0
14.0,Jack Parkin Category:Articles with hCards,1897 – 1899,50.0,11.0
15.0,Bob Paterson Category:Articles with hCards,1897,2.0,0.0
16.0,Billy Pincott Category:Articles with hCards,"1897 , 1899",17.0,0.0
17.0,Alf Pontin Category:Articles with hCards,1897,13.0,1.0
18.0,Jack Quinn Category:Articles with hCards,1897 – 1898,21.0,16.0
19.0,Teddy Rankin Category:Articles with hCards,"1897 , 1899 – 1910",180.0,35.0
20.0,Archie Thompson Category:Articles with hCards,1897 – 1901,61.0,14.0
21.0,Stan Enfield Category:Articles with hCards,1897,3.0,3.0
22.0,Jack Sharkey Category:Articles with hCards,1897,1.0,0.0
23.0,Sam Brockwell Category:Articles with hCards,1897 – 1898,29.0,0.0
24.0,Charlie Coles Category:Articles with hCards,"1897 – 1898 , 1900 – 1904",72.0,81.0
25.0,Jim Flynn Category:Articles with hCards,1897 – 1902,72.0,22.0
26.0,Henry Young Category:Articles with hCards,1897 – 1910,167.0,76.0
27.0,Bert Barling Category:Articles with hCards,1897 – 1898,16.0,4.0
28.0,Mac Armstrong Category:Articles with hCards,1897,4.0,0.0
29.0,Arthur Pincott Category:Articles with hCards,"1897 – 1900 , 1902 – 1903",72.0,0.0
30.0,Fred White Category:Articles with hCards,1897 – 1899,28.0,28.0
31.0,Cecil Sandford Category:Articles with hCards,1897 – 1898,8.0,1.0
32.0,Jimmy Palmer Category:Articles with hCards,"1897 , 1899 – 1902",53.0,8.0
33.0,Ned Moran Category:Articles with hCards,1897,2.0,0.0
34.0,Ted Greeves Category:Articles with hCards,1897 – 1899,20.0,2.0
35.0,Jack O'Loughlin Category:Articles with hCards,"1898 , 1901",22.0,1.0
36.0,Walter Cooke Category:Articles with hCards,1898,9.0,1.0
37.0,Alf Dear Category:Articles with hCards,1898 – 1899,22.0,3.0
38.0,Bill Robertson Category:Articles with hCards,1898,1.0,0.0
39.0,Dick Walker Category:Articles with hCards,1898,14.0,10.0
40.0,Jack Dore Category:Articles with hCards,1898,5.0,0.0
41.0,Ernie Leighton Category:Articles with hCards,1898 – 1899,29.0,18.0
42.0,Les Bailiff Category:Articles with hCards,"1898 , 1900 – 1903",63.0,0.0
43.0,Ernest Anderson Category:Articles with hCards,1898,1.0,0.0
44.0,Alec King Category:Articles with hCards,1898,6.0,3.0
45.0,Ossie Calvert Category:Articles with hCards,1898,2.0,0.0
46.0,Arthur McKenzie Category:Articles with hCards,1898,4.0,0.0
47.0,Tommy Buchan Category:Articles with hCards,1899 – 1902,41.0,20.0
48.0,George Lockwood Category:Articles with hCards,1899 – 1901,40.0,7.0
49.0,Teddy Lockwood Category:Articles with hCards,1899 – 1901,45.0,61.0
50.0,Pat O'Donnell Category:Articles with hCards,1899,1.0,0.0
51.0,Norman Belcher Category:Articles with hCards,"1899 , 1902 , 1906",8.0,3.0
52.0,Harry Parkin Category:Articles with hCards,1899,2.0,0.0
