County,Obama%,Obama#,McCain%,McCain#,Others%,Others#
Bronx,88.7%,338261.0,10.9%,41683.0,0.4%,1378.0
New York (Manhattan),85.7%,572126.0,13.5%,89906.0,0.8%,5562.0
Kings (Brooklyn),79.4%,603525.0,20.0%,151872.0,0.6%,4451.0
Queens,75.1%,480692.0,24.3%,155221.0,0.6%,4076.0
Tompkins,70.1%,29826.0,28.0%,11927.0,1.9%,799.0
Albany,63.8%,93937.0,34.4%,50586.0,1.9%,2743.0
Westchester,63.4%,261810.0,35.8%,147824.0,0.8%,3410.0
Ulster,60.7%,52539.0,37.6%,32527.0,1.7%,1476.0
Clinton,60.6%,20216.0,37.7%,12579.0,1.6%,542.0
Franklin,60.3%,10571.0,38.1%,6676.0,1.6%,273.0
Onondaga,59.3%,129317.0,38.9%,84972.0,1.8%,3950.0
Monroe,58.2%,207225.0,40.5%,144153.0,1.3%,4781.0
Erie,58.0%,256299.0,40.5%,178815.0,1.6%,6871.0
St. Lawrence,57.4%,23706.0,41.0%,16956.0,1.6%,664.0
Essex,55.9%,10390.0,42.6%,7913.0,1.6%,292.0
Columbia,55.9%,17556.0,42.4%,13337.0,1.7%,540.0
Schenectady,55.3%,38611.0,42.6%,29758.0,2.1%,1473.0
Cortland,54.1%,11861.0,44.2%,9678.0,1.7%,381.0
Sullivan,54.0%,16850.0,44.6%,13900.0,1.4%,433.0
Nassau,53.8%,342067.0,45.4%,288758.0,0.7%,4657.0
Rensselaer,53.7%,39753.0,44.4%,32840.0,1.9%,1393.0
Dutchess,53.7%,71060.0,45.1%,59628.0,1.2%,1614.0
Cayuga,53.3%,18128.0,44.8%,15243.0,1.9%,651.0
Broome,53.1%,47204.0,45.1%,40077.0,1.8%,1556.0
Rockland,52.6%,69543.0,46.7%,61752.0,0.7%,898.0
Suffolk,52.5%,346379.0,46.5%,306815.0,0.9%,6209.0
Otsego,52.0%,13570.0,46.0%,12026.0,2.0%,525.0
Orange,51.5%,78326.0,47.4%,72042.0,1.1%,1614.0
Saratoga,50.9%,56645.0,47.5%,52855.0,1.7%,1887.0
Warren,50.5%,16281.0,47.8%,15429.0,1.7%,535.0
Seneca,50.3%,7422.0,47.7%,7038.0,1.9%,281.0
Oswego,50.2%,24777.0,47.8%,23571.0,2.0%,1001.0
Niagara,49.7%,47303.0,48.6%,46348.0,1.7%,1621.0
Chautauqua,49.5%,29129.0,48.6%,28579.0,1.9%,1074.0
Washington,49.5%,12741.0,48.7%,12533.0,1.8%,456.0
Madison,49.3%,14692.0,48.4%,14434.0,2.3%,676.0
Ontario,49.2%,25103.0,49.3%,25171.0,1.5%,746.0
Chemung,48.8%,18888.0,50.0%,19364.0,1.1%,443.0
Chenango,48.4%,10100.0,49.6%,10337.0,2.0%,410.0
Richmond (Staten Island),47.6%,79311.0,51.7%,86062.0,0.7%,1205.0
Yates,47.6%,4890.0,51.3%,5269.0,1.2%,121.0
Jefferson,46.7%,18166.0,52.0%,20219.0,1.3%,500.0
Delaware,46.4%,9462.0,51.6%,10524.0,2.0%,403.0
Oneida,46.1%,43506.0,52.2%,49256.0,1.7%,1603.0
Putnam,45.7%,21613.0,53.2%,25145.0,1.0%,486.0
Schuyler,45.7%,3933.0,52.8%,4542.0,1.5%,125.0
Livingston,45.3%,13655.0,53.2%,16030.0,1.5%,464.0
Montgomery,45.0%,9080.0,53.1%,10711.0,1.9%,384.0
Lewis,44.8%,4986.0,53.6%,5969.0,1.6%,183.0
Herkimer,44.5%,12094.0,53.8%,14619.0,1.7%,471.0
Fulton,44.4%,9695.0,53.7%,11709.0,1.9%,420.0
Wayne,44.3%,18184.0,54.2%,22239.0,1.5%,622.0
Greene,44.1%,9850.0,54.0%,12059.0,1.9%,426.0
Tioga,44.0%,10172.0,54.2%,12536.0,1.8%,423.0
Cattaraugus,43.9%,14307.0,54.5%,17770.0,1.7%,540.0
Schoharie,41.7%,6009.0,56.0%,8071.0,2.2%,322.0
Steuben,40.9%,17148.0,57.7%,24203.0,1.3%,560.0
Genesee,40.0%,10762.0,58.4%,15705.0,1.5%,406.0
Orleans,39.9%,6614.0,58.5%,9708.0,1.6%,262.0
Allegany,38.1%,7016.0,59.8%,11013.0,2.0%,377.0
Wyoming,36.1%,6379.0,62.3%,10998.0,1.6%,290.0
Hamilton,35.9%,1225.0,62.8%,2141.0,1.3%,45.0
