Match,Date,Opponent,Venue,Result,Attendance
1.0,8 September 1888,Wolverhampton Wanderers,A,1 – 1,2500.0
2.0,15 September 1888,Stoke,H,5 – 1,4000.0
3.0,22 September 1888,Everton,H,2 – 1,4000.0
4.0,29 September 1888,Notts County,H,9 – 1,4000.0
5.0,6 October 1888,Everton,A,0 – 2,10000.0
6.0,13 October 1888,Blackburn Rovers,H,6 – 1,5000.0
7.0,20 October 1888,Bolton Wanderers,A,3 – 2,8000.0
8.0,27 October 1888,Accrington,H,4 – 3,6000.0
9.0,3 November 1888,Stoke,A,1 – 1,4000.0
10.0,10 November 1888,Preston North End,A,1 – 1,10000.0
11.0,17 November 1888,Blackburn Rovers,A,1 – 5,9500.0
12.0,24 November 1888,Wolverhampton Wanderers,H,2 – 1,6000.0
13.0,8 December 1888,Notts County,A,4 – 2,2000.0
14.0,15 December 1888,Accrington,A,1 – 1,2000.0
15.0,22 December 1888,Burnley,H,4 – 2,2000.0
16.0,29 December 1888,Derby County,H,4 – 2,4000.0
17.0,5 January 1889,Burnley,A,0 – 4,6000.0
18.0,12 January 1889,Bolton Wanderers,H,6 – 2,2000.0
19.0,19 January 1889,West Bromwich Albion,H,2 – 0,10000.0
20.0,26 January 1889,West Bromwich Albion,A,3 – 3,8515.0
21.0,9 February 1889,Preston North End,H,0 – 2,10000.0
22.0,9 March 1889,Derby County,A,2 – 5,3000.0
