Week,Date,Opponent,Result,Attendance
1.0,"September 12, 2004",Seattle Seahawks,L 21-7,"64,900"
2.0,"September 19, 2004",San Francisco 49ers,W 30-27,"64,900"
3.0,"September 26, 2004",at St. Louis Rams,W 28-25,"65,856"
4.0,"October 3, 2004",at Arizona Cardinals,L 34-10,"28,109"
5.0,"October 10, 2004",Tampa Bay Buccaneers,L 20-17,"64,900"
6.0,"October 17, 2004",Minnesota Vikings,L 38-31,"64,900"
7.0,"October 24, 2004",at Oakland Raiders,W 31-26,"45,337"
8.0,Bye,Bye,Bye,Bye
9.0,"November 7, 2004",at San Diego Chargers,L 43-17,"59,662"
10.0,"November 14, 2004",Kansas City Chiefs,W 27-20,"64,900"
11.0,"November 21, 2004",Denver Broncos,L 34-13,"64,900"
12.0,"November 28, 2004",at Atlanta Falcons,L 24-21,"70,521"
13.0,"December 5, 2004",Carolina Panthers,L 32-21,"58,878"
14.0,"December 12, 2004",at Dallas Cowboys,W 27-13,"64,056"
15.0,"December 19, 2004",at Tampa Bay Buccaneers,W 21-17,"65,075"
16.0,"December 26, 2004",Atlanta Falcons,W 26-13,"64,900"
17.0,"January 2, 2005",at Carolina Panthers,W 21-18,"73,302"
