Year,Entrant,Chassis,Engine,Points
1970.0,Gold Leaf Team Lotus,Lotus 72C,Cosworth V8,4.0
1971.0,Gold Leaf Team Lotus,Lotus 72C,Cosworth V8,9.0
1971.0,Gold Leaf Team Lotus,Lotus 72D,Cosworth V8,9.0
1971.0,Gold Leaf Team Lotus,Lotus 56B,Pratt & Whitney Turbine,9.0
1972.0,Marlboro BRM,BRM P153,BRM V12,0.0
1972.0,Marlboro BRM,BRM P160B,BRM V12,0.0
1972.0,Marlboro BRM,BRM P160C,BRM V12,0.0
1972.0,John Player Team Lotus,Lotus 72D,Cosworth V8,0.0
1973.0,Team Pierre Robert,March 731,Cosworth V8,0.0
1973.0,Clarke-Mordaunt- Guthrie-Durlacher,March 721G/731,Cosworth V8,0.0
1974.0,March Engineering,March 741,Cosworth V8,0.0
