Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,Árabe Unido,18.0,4.0,3.0,39.0,17.0,37.0
2.0,Tauro,18.0,6.0,3.0,33.0,23.0,33.0
3.0,San Francisco,18.0,4.0,5.0,35.0,27.0,31.0
4.0,Chepo,18.0,5.0,5.0,31.0,19.0,29.0
5.0,Atlético Veragüense,18.0,6.0,5.0,25.0,21.0,27.0
6.0,Sporting San Miguelito,18.0,8.0,5.0,26.0,24.0,23.0
7.0,Alianza,18.0,3.0,9.0,20.0,24.0,21.0
8.0,Atlético Chiriquí,18.0,4.0,9.0,19.0,42.0,19.0
9.0,Chorrillo,18.0,6.0,8.0,18.0,26.0,18.0
10.0,Plaza Amador,18.0,2.0,14.0,9.0,31.0,8.0
