N°,Television service,Country,Language,Content,DAR,HDTV,PPV,Package/Option
350.0,Vetrina Primafila,Italy,Italian,presentazione,16:9,no,no,qualsiasi
351.0,Sky Primafila 1 HD,Italy,Italian,Primafila Film,16:9,yes,yes,qualsiasi + Sky HD
352.0,Sky Primafila 2,Italy,Italian,Primafila Film,16:9,no,yes,qualsiasi
353.0,Sky Primafila 3 HD,Italy,Italian,Primafila Film,16:9,yes,yes,qualsiasi + Sky HD
354.0,Sky Primafila 4,Italy,Italian,Primafila Film,16:9,no,yes,qualsiasi
355.0,Sky Primafila 5 HD,Italy,Italian,Primafila Film,16:9,yes,yes,qualsiasi + Sky HD
356.0,Sky Primafila 6,Italy,Italian,Primafila Film,16:9,no,yes,qualsiasi
357.0,Sky Primafila 7 HD,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,yes,yes,qualsiasi + Sky HD
358.0,Sky Primafila 8,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
359.0,Sky Primafila 9 HD,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,yes,yes,qualsiasi + Sky HD
360.0,Sky Primafila 10,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
361.0,Sky Primafila 11 HD,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,yes,yes,qualsiasi + Sky HD
362.0,Sky Primafila 12,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
363.0,Sky Primafila 13 HD,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,yes,yes,qualsiasi + Sky HD
364.0,Sky Primafila 14,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
365.0,Sky Primafila 15,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
366.0,Sky Primafila 16,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
367.0,Sky Primafila 17,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
368.0,Sky Primafila 18,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
369.0,Sky Primafila 19,Italy,Italian,Primafila Film/Primafila Hot Club,16:9,no,yes,qualsiasi
370.0,Sky Primafila 20 HD,Italy,Italian,Penthouse TV,16:9,yes,yes,qualsiasi + Sky HD
371.0,Sky Primafila 21,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
372.0,Sky Primafila 22,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
373.0,Sky Primafila 23,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
374.0,Sky Primafila 24,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
375.0,Sky Primafila 25,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
376.0,Sky Primafila 26,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
377.0,Sky Primafila 27,Italy,Italian,Primafila Hot Club,16:9,no,yes,qualsiasi
378.0,Sky Primafila 28,Italy,Italian,Man-X,16:9,no,yes,qualsiasi
