Week,Date,Opponent,Result,Attendance
1.0,"September 18, 1977",at Oakland Raiders,L 24-0,51022.0
2.0,"September 25, 1977",at Kansas City Chiefs,W 23-7,56146.0
3.0,"October 2, 1977",Cincinnati Bengals,W 24-3,40352.0
4.0,"October 9, 1977",at New Orleans Saints,W 14-0,53942.0
5.0,"October 16, 1977",New England Patriots,L 24-20,50327.0
6.0,"October 23, 1977",Kansas City Chiefs,L 21-16,33010.0
7.0,"October 30, 1977",at Miami Dolphins,W 14-13,40670.0
8.0,"November 6, 1977",at Detroit Lions,L 20-0,72559.0
9.0,"November 13, 1977",Denver Broncos,L 17-14,45211.0
10.0,"November 20, 1977",Oakland Raiders,W 12-7,50887.0
11.0,"November 27, 1977",at Seattle Seahawks,W 30-28,58994.0
12.0,"December 4, 1977",Cleveland Browns,W 37-14,37312.0
13.0,"December 11, 1977",at Denver Broncos,L 17-9,74905.0
14.0,"December 18, 1977",Pittsburgh Steelers,L 10-9,50727.0
