Num,Team,W,L,PCT,PF,PA,Last appearance,Last championship,HOME games,Home wins,Home losses,Home Win Pct.,ROAD games,Road wins,Road losses,Road Win Pct.
15.0,Pittsburgh Steelers,8.0,7.0,.533,332.0,303.0,2010.0,2010,11.0,6.0,5.0,.545,4.0,2.0,2.0,.500
11.0,Los Angeles/Oakland Raiders,4.0,7.0,.364,202.0,253.0,2002.0,2002,5.0,3.0,2.0,.600,6.0,1.0,5.0,.167
9.0,New England Patriots,7.0,2.0,.777,231.0,176.0,2012.0,2011,5.0,4.0,1.0,.800,4.0,3.0,1.0,.750
8.0,Denver Broncos,6.0,2.0,.750,189.0,166.0,2005.0,1998,5.0,4.0,1.0,.800,3.0,2.0,1.0,.667
7.0,Miami Dolphins,5.0,2.0,.714,152.0,115.0,1992.0,1984,6.0,4.0,2.0,.667,1.0,1.0,0.0,1.000
6.0,Baltimore/Indianapolis Colts,3.0,3.0,.500,125.0,133.0,2009.0,2009,3.0,3.0,0.0,1.000,3.0,0.0,3.0,.000
5.0,Buffalo Bills,4.0,1.0,.800,130.0,54.0,1993.0,1993,3.0,3.0,0.0,1.000,2.0,1.0,1.0,.500
4.0,Baltimore Ravens,2.0,2.0,.500,78.0,62.0,2012.0,2012,0.0,0.0,0.0,—–,4.0,2.0,2.0,.500
4.0,Houston Oilers/ Tennessee Titans,1.0,3.0,.250,75.0,116.0,2002.0,1999,0.0,0.0,0.0,—–,4.0,1.0,3.0,.250
4.0,San Diego Chargers,1.0,3.0,.250,63.0,95.0,2007.0,1994,1.0,0.0,1.0,.000,3.0,1.0,2.0,.333
4.0,New York Jets,0.0,4.0,.000,46.0,91.0,2010.0,1968 **,0.0,0.0,0.0,—–,4.0,0.0,4.0,.000
3.0,Cleveland Browns,0.0,3.0,.000,74.0,98.0,1989.0,1964 *,1.0,0.0,1.0,.000,2.0,0.0,2.0,.000
2.0,Cincinnati Bengals,2.0,0.0,1.000,48.0,17.0,1988.0,1988,2.0,2.0,0.0,1.000,0.0,0.0,0.0,—–
2.0,Jacksonville Jaguars,0.0,2.0,.000,20.0,53.0,1999.0,N/A,1.0,0.0,1.0,.000,1.0,0.0,1.0,.000
1.0,Kansas City Chiefs,0.0,1.0,.000,13.0,30.0,1993.0,1969 ***,0.0,0.0,0.0,—–,1.0,0.0,1.0,.000
1.0,Seattle Seahawks c[› ],0.0,1.0,.000,14.0,30.0,1983.0,N/A,0.0,0.0,0.0,—–,1.0,0.0,1.0,.000
