Rank,Population,Name,Former Name,Municipality
14.0,845.0,Qeqertarsuaq,Godhavn Lievely,Qaasuitsup
15.0,656.0,Qaanaaq,Thule,Qaasuitsup
16.0,558.0,Kangaatsiaq,—,Qaasuitsup
17.0,512.0,Kangerlussuaq,Bluie West-8 Søndre Strømfjord Sondrestrom,Qeqqata
18.0,452.0,Ittoqqortoormiit,Scoresbysund,Sermersooq
19.0,448.0,Kullorsuaq,—,Qaasuitsup
20.0,353.0,Kangaamiut,Gammel Sukkertoppen Sukkertoppen,Qeqqata
21.0,331.0,Kuummiit,—,Sermersooq
22.0,267.0,Kulusuk,Kap Dan,Sermersooq
23.0,263.0,Alluitsup Paa,Sydprøven,Kujalleq
24.0,258.0,Niaqornaarsuk,—,Qaasuitsup
25.0,246.0,Tasiusaq,—,Qaasuitsup
26.0,235.0,Saattut,—,Qaasuitsup
27.0,231.0,Attu,—,Qaasuitsup
28.0,211.0,Ikerasak,—,Qaasuitsup
29.0,203.0,Qeqertarsuatsiaat,Fiskenæsset,Sermersooq
29.0,203.0,Sermiligaaq,—,Sermersooq
31.0,201.0,Nuussuaq,Kraulshavn,Qaasuitsup
