Borough,County,Franchise type,Members,Voters in 1800,Times contested,Fate in 1832
Armagh,Armagh,Corporation,1.0,13.0,0.0,Retained one seat
Athlone,Westmeath,Freemen,1.0,80.0,0.0,Retained one seat
Bandon Bridge,Cork,Corporation,1.0,13.0,0.0,Retained one seat
Belfast,Antrim,Corporation,1.0,13.0,0.0,Given two seats
Carlow,Carlow,Corporation,1.0,13.0,0.0,Retained one seat
Carrickfergus,Antrim,Freemen,1.0,800.0,5.0,Retained one seat
Cashel,Tipperary,Freemen,1.0,20.0,0.0,Retained one seat
Clonmel,Tipperary,Freemen,1.0,90.0,0.0,Retained one seat
Coleraine,Londonderry,Freemen,1.0,40.0,0.0,Retained one seat
Cork,Cork,Freemen,2.0,1700.0,6.0,Retained two seats
Downpatrick,Down,5 pound householders,1.0,300.0,6.0,Retained one seat
Drogheda,Louth,Freemen,1.0,600.0,6.0,Retained one seat
Dublin,Dublin,Freemen,2.0,3000.0,5.0,Retained two seats
Dundalk,Louth,Freemen,1.0,30.0,0.0,Retained one seat
Dungannon,Tyrone,Corporation,1.0,13.0,0.0,Retained one seat
Dungarvan,Waterford,5 pound householders,1.0,250.0,2.0,Retained one seat
Ennis,Clare,Corporation,1.0,13.0,0.0,Retained one seat
Enniskillen,Fermanagh,Freemen,1.0,14.0,0.0,Retained one seat
Galway,Galway,Freemen,1.0,500.0,4.0,Given two seats
Kilkenny,Kilkenny,Freemen,1.0,1200.0,4.0,Retained one seat
Kinsale,Cork,Freemen,1.0,176.0,1.0,Retained one seat
Limerick,Limerick,Freemen,1.0,1000.0,4.0,Given two seats
Lisburn,Antrim,5 pound householders,1.0,75.0,0.0,Retained one seat
Londonderry,Londonderry,Freemen,1.0,1000.0,2.0,Retained one seat
Mallow,Cork,40 shilling freeholders,1.0,524.0,2.0,Retained one seat
New Ross,Wexford,Freemen,1.0,38.0,0.0,Retained one seat
Newry,Down,5 pound householders,1.0,500.0,4.0,Retained one seat
Portarlington,Queen's,Freemen,1.0,12.0,0.0,Retained one seat
Sligo,Sligo,Corporation,1.0,13.0,0.0,Retained one seat
Tralee,Kerry,Corporation,1.0,13.0,0.0,Retained one seat
Waterford,Waterford,Freemen,1.0,1000.0,2.0,Retained one seat
Wexford,Wexford,Freemen,1.0,150.0,1.0,Retained one seat
