Round,Date,Grand Prix,Circuit,MotoGP winner,Moto2 winner,125cc winner,Report
2.0,3 April,bwin Spanish Grand Prix,Jerez,Jorge Lorenzo,Andrea Iannone,Nicolás Terol,Report
3.0,1 May,bwin Portuguese Grand Prix,Estoril,Dani Pedrosa,Stefan Bradl,Nicolás Terol,Report
4.0,15 May,Monster Energy French Grand Prix,Le Mans,Casey Stoner,Marc Márquez,Maverick Viñales,Report
5.0,5 June,Aperol Catalan Grand Prix,Catalunya,Casey Stoner,Stefan Bradl,Nicolás Terol,Report
6.0,12 June,AirAsia British Grand Prix,Silverstone,Casey Stoner,Stefan Bradl,Jonas Folger,Report
8.0,3 July,Telecom Italia Mobile Italian Grand Prix,Mugello,Jorge Lorenzo,Marc Márquez,Nicolás Terol,Report
9.0,17 July,Eni German Grand Prix,Sachsenring,Dani Pedrosa,Marc Márquez,Héctor Faubel,Report
10.0,24 July,Red Bull United States Grand Prix,Laguna Seca,Casey Stoner,No 125cc and Moto2 race,No 125cc and Moto2 race,Report
11.0,14 August,Cardion ab Czech Republic Grand Prix,Brno,Casey Stoner,Andrea Iannone,Sandro Cortese,Report
12.0,28 August,Red Bull Indianapolis Grand Prix,Indianapolis,Casey Stoner,Marc Márquez,Nicolás Terol,Report
13.0,4 September,Aperol San Marino Grand Prix,Misano,Jorge Lorenzo,Marc Márquez,Nicolás Terol,Report
14.0,18 September,Aragon Grand Prix,Motorland Aragón,Casey Stoner,Marc Márquez,Nicolás Terol,Report
15.0,2 October,Japanese Grand Prix,Motegi,Dani Pedrosa,Andrea Iannone,Johann Zarco,Report
16.0,16 October,Iveco Australian Grand Prix,Phillip Island,Casey Stoner,Alex de Angelis,Sandro Cortese,Report
17.0,23 October,Shell Advance Malaysian Grand Prix,Sepang,Race cancelled,Thomas Lüthi,Maverick Viñales,Report
