Artist,Country,Number-one single(s),Year,Weeks at #1,Straight to #1 ?
"D'Avilla, Philippe",France,""" Les Rois du monde """,2000.0,17.0,No
Daft Punk,France,""" One More Time """,2000.0,1.0,Yes
Début de Soirée,France,""" Nuit de folie """,1988.0,9.0,No
"Desvarieux, Jacob",France,""" Laisse parler les gens "" 1",2003.0,3.0,No
Diam's,Cyprus,""" La Boulette """,2006.0,3.0,No
"Dion, Céline",Canada,""" Pour que tu m'aimes encore """,1995.0,12.0,No
"Dion, Céline",Canada,""" Je sais pas """,1995.0,7.0,No
"Dion, Céline",Canada,""" The Reason "" / "" My Heart Will Go On """,1998.0,13.0,No
"Dion, Céline",Canada,""" Sous le vent """,2001.0,3.0,Yes
Dire Straits,United Kingdom,""" Your Latest Trick """,1993.0,6.0,Yes
DJ BoBo,Switzerland,""" Chihuahua """,2003.0,10.0,No
"Doré, Julien",Canada,"""Pour un infidèle""",2010.0,1.0,Yes
