Season,Lowest,Low Team,Average,Highest,High Team,2nd Highest,2nd Team
1968.0,2441.0,Los Angeles Wolves,4699.0,8510.0,Kansas City Spurs,6840.0,Washington Whips
1969.0,1601.0,Baltimore Rays,2930.0,4273.0,Kansas City Spurs,3371.0,Atlanta Chiefs
1970.0,2398.0,Kansas City Spurs,3163.0,4506.0,Rochester Lancers,3894.0,Washington Darts
1971.0,2440.0,Montreal Olympique,4154.0,5993.0,Toronto Metros,5871.0,Rochester Lancers
1972.0,2112.0,Miami Gatos,4780.0,7773.0,St. Louis Stars,7173.0,Toronto Metros
1973.0,3317.0,Atlanta Apollos,5954.0,11501.0,Philadelphia Atoms,7474.0,Dallas Tornado
1974.0,3458.0,Toronto Metros,7770.0,16584.0,San Jose Earthquakes,13454.0,Seattle Sounders
1975.0,2641.0,Baltimore Comets,7930.0,17927.0,San Jose Earthquakes,16826.0,Seattle Sounders
1976.0,2571.0,Boston Minutemen,10295.0,23828.0,Seattle Sounders,23121.0,Minnesota Kicks
1977.0,3848.0,Connecticut Bicentennials,13558.0,34142.0,New York Cosmos,32775.0,Minnesota Kicks
1978.0,4188.0,Chicago Sting,13084.0,47856.0,New York Cosmos,30928.0,Minnesota Kicks
1979.0,5626.0,Philadelphia Fury,14201.0,46690.0,New York Cosmos,27650.0,Tampa Bay Rowdies
1980.0,4465.0,Philadelphia Fury,14440.0,42754.0,New York Cosmos,28435.0,Tampa Bay Rowdies
1981.0,4670.0,Dallas Tornado,14084.0,34835.0,New York Cosmos,23704.0,Montreal Manic
1982.0,4922.0,Edmonton Drillers,13155.0,28749.0,New York Cosmos,21348.0,Montreal Manic
1983.0,4212.0,San Diego Sockers,13258.0,29166.0,Vancouver Whitecaps,27242.0,New York Cosmos
